Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
50;+6.9055996835231781e-02;+6.8704001605510712e-02;+6.8640001118183136e-02;+6.8768002092838287e-02;+6.8704001605510712e-02;+2.7839999645948410e-02;+2.6464000344276428e-02
100;+7.3440000414848328e-02;+7.1520000696182251e-02;+7.3055997490882874e-02;+7.2512000799179077e-02;+7.1904003620147705e-02;+3.3856000751256943e-02;+3.2095998525619507e-02
150;+7.5071997940540314e-02;+7.3504000902175903e-02;+7.5295999646186829e-02;+7.4528001248836517e-02;+7.3408000171184540e-02;+3.7312000989913940e-02;+3.4912001341581345e-02
200;+7.9392001032829285e-02;+7.7151998877525330e-02;+7.9296000301837921e-02;+7.8528001904487610e-02;+7.7023997902870178e-02;+4.3104000389575958e-02;+4.0352001786231995e-02
250;+8.1600002944469452e-02;+7.9007998108863831e-02;+8.1632003188133240e-02;+8.0448001623153687e-02;+7.8783996403217316e-02;+4.6431999653577805e-02;+4.2879998683929443e-02
300;+8.5727997124195099e-02;+8.2560002803802490e-02;+8.5663996636867523e-02;+8.4576003253459930e-02;+8.2400001585483551e-02;+5.2799999713897705e-02;+4.8512000590562820e-02
350;+8.7520003318786621e-02;+8.4192000329494476e-02;+8.7871998548507690e-02;+8.6655996739864349e-02;+8.4127999842166901e-02;+5.6031998246908188e-02;+5.1552001386880875e-02
400;+9.1967999935150146e-02;+8.7583996355533600e-02;+9.2256002128124237e-02;+9.0591996908187866e-02;+8.7552003562450409e-02;+6.2624000012874603e-02;+5.6992001831531525e-02
450;+9.6192002296447754e-02;+9.1104000806808472e-02;+9.6192002296447754e-02;+9.4655998051166534e-02;+9.0687997639179230e-02;+6.8704001605510712e-02;+6.2144000083208084e-02
500;+9.8591998219490051e-02;+9.2543996870517731e-02;+9.8495997488498688e-02;+9.6863999962806702e-02;+9.2416003346443176e-02;+7.1999996900558472e-02;+6.5343998372554779e-02
550;+1.0271999984979630e-01;+9.6192002296447754e-02;+1.0243199765682220e-01;+1.0076799988746643e-01;+9.6479997038841248e-02;+7.9616002738475800e-02;+7.0720002055168152e-02
600;+1.0480000078678131e-01;+9.7984001040458679e-02;+1.0467199981212616e-01;+1.0262399911880493e-01;+9.8112002015113831e-02;+8.1248000264167786e-02;+7.3472000658512115e-02
650;+1.0902400314807892e-01;+1.0153599828481674e-01;+1.0905600339174271e-01;+1.0672000050544739e-01;+1.0169599950313568e-01;+8.9535996317863464e-02;+7.9007998108863831e-02
700;+1.1123199760913849e-01;+1.0316800326108932e-01;+1.1100800335407257e-01;+1.0873600095510483e-01;+1.0255999863147736e-01;+9.2096000909805298e-02;+8.2143999636173248e-02
750;+1.1555200070142746e-01;+1.0643199831247330e-01;+1.1500799655914307e-01;+1.1267200112342834e-01;+1.0639999806880951e-01;+1.0009600222110748e-01;+8.7583996355533600e-02
800;+1.1760000139474869e-01;+1.0806400328874588e-01;+1.1734399944543839e-01;+1.1478400230407715e-01;+1.0806400328874588e-01;+1.0041599720716476e-01;+8.9727997779846191e-02
850;+1.2195199728012085e-01;+1.1180800199508667e-01;+1.2182399630546570e-01;+1.1843200027942657e-01;+1.1126399785280228e-01;+1.0921599715948105e-01;+9.6896000206470490e-02
900;+1.2652799487113953e-01;+1.1507199704647064e-01;+1.2643200159072876e-01;+1.2287999689579010e-01;+1.1494400352239609e-01;+1.1481600254774094e-01;+1.0099200159311295e-01
950;+1.2815999984741211e-01;+1.1686400324106216e-01;+1.2851199507713318e-01;+1.2473600357770920e-01;+1.1667200177907944e-01;+1.2038400024175644e-01;+1.0451199859380722e-01
1000;+1.3264000415802002e-01;+1.2028799951076508e-01;+1.3260799646377563e-01;+1.2863999605178833e-01;+1.1984000355005264e-01;+1.2441600114107132e-01;+1.0960000008344650e-01
1050;+1.3488000631332397e-01;+1.2214399874210358e-01;+1.3481600582599640e-01;+1.3052800297737122e-01;+1.2176000326871872e-01;+1.2857599556446075e-01;+1.1225599795579910e-01
1100;+1.4239999651908875e-01;+1.2540799379348755e-01;+1.4246399700641632e-01;+1.3439999520778656e-01;+1.2537600100040436e-01;+1.3935999572277069e-01;+1.1894399672746658e-01
1150;+1.4822399616241455e-01;+1.2703999876976013e-01;+1.4835199713706970e-01;+1.3660800457000732e-01;+1.1680000275373459e-01;+1.3132800161838531e-01;+1.1187200248241425e-01
1200;+1.4294399321079254e-01;+1.1977600306272507e-01;+1.4304000139236450e-01;+1.2822400033473969e-01;+1.1971200257539749e-01;+1.3648000359535217e-01;+1.1603199690580368e-01
1250;+1.5328000485897064e-01;+1.2326399981975555e-01;+1.5315200388431549e-01;+1.3203200697898865e-01;+1.2297599762678146e-01;+1.4726400375366211e-01;+1.2220799922943115e-01
1300;+1.5849600732326508e-01;+1.2460800260305405e-01;+1.5795199573040009e-01;+1.3436800241470337e-01;+1.2460800260305405e-01;+1.5110400319099426e-01;+1.2521600723266602e-01
1350;+1.6547200083732605e-01;+1.2751999497413635e-01;+1.6566400229930878e-01;+1.3823999464511871e-01;+1.2780800461769104e-01;+1.5881599485874176e-01;+1.3167999684810638e-01
1400;+1.6687999665737152e-01;+1.2956799566745758e-01;+1.6694399714469910e-01;+1.3987199962139130e-01;+1.2950399518013000e-01;+1.5945599973201752e-01;+1.3199999928474426e-01
