Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
50;+0.0000000000000000e+00;+2.5628785731776016e-07;+0.0000000000000000e+00;+8.9889644910070726e-08;+2.5628785731776016e-07;+3.5058724811751607e-16;+1.2174683340428884e-07
100;+0.0000000000000000e+00;+7.3174071023216643e-07;+0.0000000000000000e+00;+1.8102811111386937e-07;+7.3174071023216643e-07;+3.1601548907040873e-15;+2.9699232636364128e-07
150;+0.0000000000000000e+00;+2.3628817437866431e-07;+0.0000000000000000e+00;+7.7103427756841156e-08;+2.3628817437866431e-07;+7.8223725072207206e-16;+3.2029099926862495e-07
200;+0.0000000000000000e+00;+3.8031077718657786e-07;+0.0000000000000000e+00;+1.1984299357325519e-07;+3.8031077718657786e-07;+5.2532374463399244e-16;+2.8884301163651879e-07
250;+0.0000000000000000e+00;+1.3262878339775225e-06;+0.0000000000000000e+00;+2.6030466206150623e-07;+1.3262878339775225e-06;+5.1840510998649684e-15;+2.1388085286981955e-06
300;+0.0000000000000000e+00;+7.0784183686627495e-07;+0.0000000000000000e+00;+1.8270932575495857e-07;+7.0784183686627495e-07;+6.1501136593847386e-16;+2.4630055334107033e-07
350;+0.0000000000000000e+00;+2.8568234309056834e-07;+0.0000000000000000e+00;+4.4858117540386863e-07;+2.8568234309056834e-07;+1.2511216342613006e-15;+2.3242047311659933e-07
400;+0.0000000000000000e+00;+3.7111185399593334e-07;+0.0000000000000000e+00;+1.5006894827000736e-07;+3.7111185399593334e-07;+1.0931323895861739e-15;+9.6567870566570849e-08
450;+0.0000000000000000e+00;+5.5004871033695745e-07;+0.0000000000000000e+00;+7.4224703068809038e-08;+5.5004871033695745e-07;+1.9937201359002090e-15;+6.6394905424833139e-07
500;+0.0000000000000000e+00;+3.0320523541172143e-07;+0.0000000000000000e+00;+3.1329239688017484e-07;+3.0320523541172143e-07;+1.7031743167717759e-15;+1.8961281778867570e-07
550;+0.0000000000000000e+00;+9.7557879151659572e-07;+0.0000000000000000e+00;+2.5155450087255777e-07;+9.7557879151659572e-07;+4.7909368140267857e-15;+1.3613816566046036e-06
600;+0.0000000000000000e+00;+6.6691682121118591e-07;+0.0000000000000000e+00;+3.8031510852432546e-07;+6.6691682121118591e-07;+3.9694729067751489e-15;+8.7648388370172728e-07
650;+0.0000000000000000e+00;+1.0267046290807144e-06;+0.0000000000000000e+00;+4.6128927301254666e-07;+1.0267046290807144e-06;+1.3760632211565152e-15;+3.9677293700471674e-07
700;+0.0000000000000000e+00;+6.1410322115098903e-07;+0.0000000000000000e+00;+2.6264029483340258e-07;+6.1410322115098903e-07;+4.6415868894826275e-15;+4.6358186764628460e-06
750;+0.0000000000000000e+00;+1.2929427787899869e-06;+0.0000000000000000e+00;+3.0324426477776870e-07;+1.2929427787899869e-06;+5.5225564278218551e-15;+1.3977154622250949e-06
