Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp64, posit32>;DOT Acc<fp64, posit16>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
73000000;7.8336000442504883e-01;4.0857601165771484e-01;7.8643202781677246e-01;4.1267201304435730e-01;7.2294402122497559e-01;8.4172797203063965e-01;4.0959998965263367e-01;8.1715202331542969e-01;4.4339200854301453e-01;0.0000000000000000e+00;5.3318413420674431e-07;1.8908682642737398e-15;8.2303561999222609e-09;8.6888466252860692e-09;9.5599440607937157e-04;1.9543971715242438e-06;6.3028942142457998e-16;9.3924500201174424e-07
75000000;8.0588799715042114e-01;4.2188799381256104e-01;8.0896002054214478e-01;4.2598399519920349e-01;7.4035197496414185e-01;8.6425602436065674e-01;4.2086398601531982e-01;8.4172797203063965e-01;4.5670399069786072e-01;0.0000000000000000e+00;7.9273468514505490e-07;3.7217546557758196e-15;6.5060413695893207e-09;1.8470231333993310e-08;1.5245451797853142e-03;8.0574676788423347e-07;9.3043866394395501e-15;2.0631622299825037e-07
77000000;8.2636797428131104e-01;4.3212801218032837e-01;8.2943999767303467e-01;4.3417599797248840e-01;7.5264000892639160e-01;8.7859201431274414e-01;4.3212801218032837e-01;8.6732798814773560e-01;4.7001600265502930e-01;0.0000000000000000e+00;3.3769932178540901e-07;4.7194238416943594e-15;6.7696099335390082e-08;1.7021671695290187e-08;2.0397134086133557e-03;1.1484901640270072e-06;5.2857547026976821e-15;6.4174588762600832e-07
79000000;8.4889602661132812e-01;4.4543999433517456e-01;8.5299199819564819e-01;4.4748800992965698e-01;7.7721601724624634e-01;9.2262399196624756e-01;4.4236800074577332e-01;8.8678401708602905e-01;4.8025599122047424e-01;0.0000000000000000e+00;1.7048088758434602e-06;2.0694415070390978e-15;5.5973064562186236e-09;5.5973064562186236e-09;9.7652941537507794e-04;1.0512659645406749e-06;6.5735200811830164e-15;5.8259131371628809e-07
81000000;8.6937600374221802e-01;4.5568001270294189e-01;8.7449598312377930e-01;4.5875200629234314e-01;7.9564797878265381e-01;9.2979198694229126e-01;4.5465600490570068e-01;9.1136002540588379e-01;4.9356800317764282e-01;0.0000000000000000e+00;1.9860970570206415e-06;1.5613292376788446e-15;3.0221802902527185e-08;1.2758630990758308e-08;8.8080276034487764e-04;3.7948524113790471e-07;2.9925477055511188e-15;6.6830507356822792e-07
83000000;8.9087998867034912e-01;4.6489599347114563e-01;8.9395201206207275e-01;4.6796798706054688e-01;8.1510400772094727e-01;9.5436799526214600e-01;4.6592000126838684e-01;9.3184000253677368e-01;5.0585597753524780e-01;0.0000000000000000e+00;9.9252157576708452e-07;2.3724152417992877e-15;1.8810044834858050e-09;1.5809005718007027e-08;6.5537761694042297e-04;1.4340108609542847e-07;3.9540254029988123e-15;1.8810044834858050e-09
85000000;9.1136002540588379e-01;4.7615998983383179e-01;9.1340798139572144e-01;4.8025599122047424e-01;8.4172797203063965e-01;9.8508799076080322e-01;4.7411200404167175e-01;9.5231997966766357e-01;5.1814401149749756e-01;0.0000000000000000e+00;4.0059934842433491e-07;1.3034500105713139e-15;7.2255075471721487e-10;2.5714850609068319e-08;8.8382841460002718e-04;1.0004145449287615e-06;1.8620714436733056e-15;2.0066094958952606e-07
87000000;9.3388801813125610e-01;4.8640000820159912e-01;9.3695998191833496e-01;4.9049600958824158e-01;8.5196799039840698e-01;1.0055680274963379e+00;4.8640000820159912e-01;9.7791999578475952e-01;5.2940797805786133e-01;0.0000000000000000e+00;1.8459057277567619e-07;1.8073043868876818e-15;9.4672581143219003e-09;9.4672581143219003e-09;5.9492609082321848e-04;1.4972439616043073e-06;3.2531478963978272e-15;5.5218685515677465e-08
89000000;9.5436799526214600e-01;4.9663999676704407e-01;9.5744001865386963e-01;5.0073599815368652e-01;8.7040001153945923e-01;1.0188800096511841e+00;4.9766400456428528e-01;9.9942398071289062e-01;5.4169601202011108e-01;0.0000000000000000e+00;4.0422758941149073e-07;8.5259204396582193e-16;5.3504278796384198e-08;3.7122047296001668e-09;2.5693024805295982e-03;1.6793724584835293e-07;4.2629602198291100e-15;7.4010208110819654e-07
91000000;9.7484797239303589e-01;5.1097601652145386e-01;9.7996801137924194e-01;5.1404798030853271e-01;8.8985598087310791e-01;1.0414079427719116e+00;5.0892800092697144e-01;1.0219520330429077e+00;5.5398398637771606e-01;0.0000000000000000e+00;7.5795462018477845e-07;0.0000000000000000e+00;6.7401298693030358e-08;9.8551885687180129e-09;2.4800745632160576e-03;2.9758573919027971e-07;7.7175347673715815e-15;6.4286239993615372e-07
93000000;9.9635201692581177e-01;5.2223998308181763e-01;1.0014719963073730e+00;5.2428799867630005e-01;9.0828800201416016e-01;1.0629119873046875e+00;5.2121597528457642e-01;1.0434559583663940e+00;5.6524801254272461e-01;0.0000000000000000e+00;1.2821034179562646e-06;8.9970109832436427e-15;4.8852313654639813e-08;2.5331490245945547e-09;1.5072872436209571e-03;5.6270694044698353e-07;1.9525428091294711e-14;2.5439416437157732e-07
95000000;1.0188800096511841e+00;5.3248000144958496e-01;1.0240000486373901e+00;5.3657597303390503e-01;9.2672002315521240e-01;1.0854400396347046e+00;5.3248000144958496e-01;1.0659840106964111e+00;5.7855999469757080e-01;0.0000000000000000e+00;2.6536164776721078e-06;1.3774070288085743e-15;3.7781432286253239e-09;3.7781432286253239e-09;1.4561207549935787e-03;4.1325960131754467e-06;6.5426833868407283e-15;1.2702643785390359e-07
97000000;1.0403840541839600e+00;5.4272001981735229e-01;1.0434559583663940e+00;5.4681599140167236e-01;9.4412797689437866e-01;1.1069439649581909e+00;5.4374402761459351e-01;1.0895359516143799e+00;5.9187197685241699e-01;0.0000000000000000e+00;1.6365224941460854e-06;0.0000000000000000e+00;3.2185313166461334e-08;1.2379608527417115e-08;1.1525058195339178e-03;2.8843403015746818e-06;3.4863626791963255e-15;2.3520421699680935e-07
99000000;1.0618879795074463e+00;5.5398398637771606e-01;1.0639359951019287e+00;5.5705600976943970e-01;9.6255999803543091e-01;1.1284480094909668e+00;5.5398398637771606e-01;1.1120640039443970e+00;6.0313600301742554e-01;0.0000000000000000e+00;2.0783374502788015e-06;7.3383949581917407e-16;2.9656637492088683e-08;9.7410704461173328e-09;2.0692955551088409e-03;2.9656637492088683e-08;4.4030369749150441e-16;3.4483830099773682e-07
101000000;1.0833920240402222e+00;5.6524801254272461e-01;1.0854400396347046e+00;5.7036799192428589e-01;9.8099201917648315e-01;1.1612160205841064e+00;5.6422400474548340e-01;1.1315200328826904e+00;6.1542397737503052e-01;0.0000000000000000e+00;5.2608208088628968e-07;2.1252968559756108e-16;4.4422949782889763e-08;1.2627553284028179e-08;1.7239076787263436e-03;8.4312999271974092e-07;5.5257718255365882e-15;2.7262496205056153e-07
103000000;1.1038719415664673e+00;5.7651197910308838e-01;1.1089919805526733e+00;5.7958400249481201e-01;1.0004479885101318e+00;1.1847679615020752e+00;5.7548797130584717e-01;1.1540479660034180e+00;6.2668800354003906e-01;0.0000000000000000e+00;1.3150624642251684e-06;2.7648036763504447e-15;5.9080203959370188e-08;2.6554950149661506e-08;1.0309881752687822e-03;2.6852249299696755e-06;8.7197654407975566e-15;1.0827218508277190e-06
105000000;1.1243519783020020e+00;5.8880001306533813e-01;1.1294720172882080e+00;5.9187197685241699e-01;1.0199040174484253e+00;1.1939840316772461e+00;5.8880001306533813e-01;1.1755520105361938e+00;6.3999998569488525e-01;0.0000000000000000e+00;6.0239129770425922e-07;2.5573042361245571e-15;1.7290600437854670e-09;1.7290600437854670e-09;1.8160611001809390e-03;5.9893317761668833e-07;7.9915757378892407e-16;1.7334684223249226e-07
107000000;1.1468800306320190e+00;6.0108798742294312e-01;1.1509759426116943e+00;6.0416001081466675e-01;1.0403840541839600e+00;1.2349439859390259e+00;6.0006397962570190e-01;1.2021759748458862e+00;6.5331202745437622e-01;0.0000000000000000e+00;2.0447349478246432e-06;3.5730141769740685e-15;4.0316551937310581e-08;1.3844780579284959e-09;2.4846738546843877e-03;4.2131885075770747e-06;6.6799830265167361e-15;8.7710610795794901e-07
109000000;1.1663360595703125e+00;6.1132800579071045e-01;1.1735039949417114e+00;6.1542397737503052e-01;1.0557440519332886e+00;1.2359679937362671e+00;6.1132800579071045e-01;1.2206079959869385e+00;6.6355198621749878e-01;0.0000000000000000e+00;8.0034862805761221e-07;5.6498224250104805e-16;8.5114567299686321e-09;8.5114567299686321e-09;1.1030914520857933e-03;5.9813360686071695e-07;6.2148046675115279e-15;3.1183398852531143e-07
111000000;1.1898880004882812e+00;6.2259197235107422e-01;1.1939840316772461e+00;6.2566399574279785e-01;1.0751999616622925e+00;1.2605439424514771e+00;6.2054401636123657e-01;1.2421120405197144e+00;6.7481601238250732e-01;0.0000000000000000e+00;5.5287264679750481e-06;6.8024930098425695e-15;6.3491365691278990e-08;6.4279184089695323e-09;3.3672633886002077e-03;5.3004726788458104e-06;4.2515581311516063e-15;2.9174515482051684e-07
113000000;1.2113920450210571e+00;6.3283199071884155e-01;1.2144639492034912e+00;6.3488000631332397e-01;1.0956799983978271e+00;1.3117439746856689e+00;6.3180798292160034e-01;1.2687360048294067e+00;6.8915200233459473e-01;0.0000000000000000e+00;4.7545301908570334e-06;2.5334910091744290e-15;5.1360097001741651e-08;6.0215093804324496e-09;3.1256029135348154e-03;2.2155692840637185e-06;5.5736802201837433e-15;3.9317078240876754e-08
115000000;1.2318719625473022e+00;6.4307200908660889e-01;1.2369920015335083e+00;6.4716798067092896e-01;1.1130880117416382e+00;1.3056000471115112e+00;6.4512002468109131e-01;1.2871680259704590e+00;7.0143997669219971e-01;0.0000000000000000e+00;2.5010945609561148e-07;2.1260159223783743e-15;4.2582891154920751e-08;1.6642070537334412e-08;2.0661770634406718e-03;9.7645243338802899e-07;3.8654834952334082e-15;2.5010945609561148e-07
117000000;1.2533760070800781e+00;6.5535998344421387e-01;1.2574720382690430e+00;6.5945601463317871e-01;1.1325440406799316e+00;1.3291519880294800e+00;6.5535998344421387e-01;1.3096959590911865e+00;7.1372801065444946e-01;0.0000000000000000e+00;1.6479262649683624e-05;7.8240931733703324e-15;1.0797388791013080e-07;2.6804079319992596e-10;4.7359340716193604e-03;1.0663146905369357e-05;5.4166798892563837e-15;1.1850323590794395e-06
119000000;1.2738560438156128e+00;6.6764801740646362e-01;1.2799999713897705e+00;6.7071998119354248e-01;1.1509759426116943e+00;1.3506560325622559e+00;6.6662400960922241e-01;1.3332480192184448e+00;7.2601598501205444e-01;0.0000000000000000e+00;5.7229412100144835e-06;1.0357750906770958e-14;6.9532931221924345e-08;2.7008304465349109e-08;9.1975996058246375e-04;9.0439597176566907e-06;2.1866363025405355e-14;1.3052607480190247e-06
121000000;1.2963839769363403e+00;6.7993599176406860e-01;1.3004800081253052e+00;6.8198400735855103e-01;1.1694079637527466e+00;1.3742079734802246e+00;6.7891198396682739e-01;1.3547519445419312e+00;7.3932802677154541e-01;0.0000000000000000e+00;4.4136028432516406e-06;2.1953641187248500e-15;6.5180275797528210e-08;3.3038652251795668e-08;2.9047890673203835e-04;6.5351316891170358e-06;5.1225162770246495e-15;7.9914629103652184e-07
123000000;1.3178880214691162e+00;6.9017601013183594e-01;1.3230079412460327e+00;6.9222402572631836e-01;1.1888639926910400e+00;1.4274560213088989e+00;6.9120001792907715e-01;1.3783040046691895e+00;7.4956798553466797e-01;0.0000000000000000e+00;1.7495444077088471e-06;9.9843387298645446e-16;7.2957945761714716e-08;3.4248075030671272e-08;5.7229998706478707e-04;3.1432226780098651e-06;4.9921693649322717e-15;2.4866011661544324e-07
125000000;1.3383680582046509e+00;6.9939202070236206e-01;1.3424639701843262e+00;7.0451200008392334e-01;1.2093440294265747e+00;1.4376959800720215e+00;7.0041602849960327e-01;1.3998080492019653e+00;7.6492798328399658e-01;0.0000000000000000e+00;6.9248151572448103e-06;6.1929127434531686e-16;5.7253739034851035e-08;2.5866128778002071e-08;1.3203295530907410e-03;3.7108469351478231e-06;2.4771650973812674e-15;5.3572751382286440e-08
127000000;1.3608959913253784e+00;7.1167999505996704e-01;1.3639680147171021e+00;7.1475201845169067e-01;1.2257280349731445e+00;1.4366719722747803e+00;7.1167999505996704e-01;1.4264320135116577e+00;7.7619200944900513e-01;0.0000000000000000e+00;1.4001230060474576e-07;3.8606039451530640e-15;8.0338394599059100e-09;1.0471928048175548e-08;6.5776096646778749e-04;3.6208151070172328e-07;1.9303019725765320e-15;1.5607997952455759e-07
129000000;1.3813760280609131e+00;7.2294402122497559e-01;1.3844480514526367e+00;7.2703999280929565e-01;1.2441600561141968e+00;1.4755840301513672e+00;7.2089600563049316e-01;1.4489599466323853e+00;7.8847998380661011e-01;0.0000000000000000e+00;7.2054680625969626e-07;3.3740001814190274e-16;8.6555912189386703e-08;2.6656747466025706e-08;1.4925555627416079e-04;2.6225194884706249e-06;3.0366001632771247e-15;2.6769616763804659e-07
131000000;1.4028799533843994e+00;7.3523199558258057e-01;1.4079999923706055e+00;7.3830401897430420e-01;1.2646399736404419e+00;1.4950400590896606e+00;7.3318397998809814e-01;1.4653439521789551e+00;8.0076801776885986e-01;0.0000000000000000e+00;1.1710585413417747e-07;7.7618841614226632e-15;1.1710585413417747e-07;2.0777118135058046e-08;1.7030750452493735e-05;4.0500239744471624e-06;4.3375235019714877e-15;1.2801942990001901e-07
133000000;1.4233599901199341e+00;7.4649602174758911e-01;1.4305280447006226e+00;7.5059199333190918e-01;1.2830719947814941e+00;1.5400960445404053e+00;7.4649602174758911e-01;1.4940160512924194e+00;8.1305599212646484e-01;0.0000000000000000e+00;3.3655506985959932e-06;8.6588970249081278e-15;1.2098175841139158e-07;2.4290427297249452e-08;3.4141392684260369e-04;1.9854649343639035e-06;9.4706686209932650e-16;6.0537917013181357e-07
135000000;1.4448640346527100e+00;7.5673598051071167e-01;1.4510079622268677e+00;7.5980800390243530e-01;1.3004800081253052e+00;1.5237120389938354e+00;7.5673598051071167e-01;1.5134719610214233e+00;8.2534402608871460e-01;0.0000000000000000e+00;1.4391492742253109e-05;9.0212853539993828e-16;4.1521173548730633e-07;4.3168767828651290e-08;2.6700232630476246e-03;7.4675880401315871e-11;2.5775101011426809e-16;3.7363082123425463e-06
137000000;1.4663679599761963e+00;7.6800000667572021e-01;1.4745600223541260e+00;7.7107197046279907e-01;1.3199360370635986e+00;1.5636479854583740e+00;7.6800000667572021e-01;1.5370240211486816e+00;8.3660799264907837e-01;0.0000000000000000e+00;6.2367721846921971e-06;1.2308085706125913e-14;2.0710614149713778e-07;4.0688353428686568e-08;1.4333678666274899e-03;5.9063795247910980e-06;3.0770214265314782e-15;4.5490063642296210e-07
139000000;1.4868479967117310e+00;7.8028798103332520e-01;1.4940160512924194e+00;7.8233599662780762e-01;1.3332480192184448e+00;1.5872000455856323e+00;7.7824002504348755e-01;1.5575040578842163e+00;8.4991997480392456e-01;0.0000000000000000e+00;1.0868549638673634e-06;1.0414018446066542e-15;8.0477919336941261e-08;3.1341752277550096e-08;3.0121085357716213e-04;5.2775660579490662e-07;4.1656073784266173e-16;4.7862043873551554e-07
141000000;1.5104000568389893e+00;7.9052799940109253e-01;1.5144959688186646e+00;7.9360002279281616e-01;1.3567999601364136e+00;1.6455680131912231e+00;7.9052799940109253e-01;1.5810559988021851e+00;8.6323201656341553e-01;0.0000000000000000e+00;1.0982879975537832e-05;7.3130793533948672e-14;6.1120738066087814e-07;4.7547582759503146e-08;7.0401984974835389e-03;5.9471225843659665e-06;4.8835664138442231e-14;1.1015555242321133e-06
143000000;1.5319039821624756e+00;8.0076801776885986e-01;1.5360000133514404e+00;8.0383998155593872e-01;1.3742079734802246e+00;1.6527359485626221e+00;8.0179202556610107e-01;1.6046080589294434e+00;8.7244802713394165e-01;0.0000000000000000e+00;1.6677424324246298e-06;1.0443323056809238e-15;8.4356434394058749e-08;1.4272479721311206e-08;2.1659588916409841e-03;3.6469225308504892e-07;1.0704406133229469e-14;6.8656706700616427e-07
145000000;1.5523840188980103e+00;8.1407999992370605e-01;1.5575040578842163e+00;8.1817597150802612e-01;1.3936640024185181e+00;1.6732159852981567e+00;8.1510400772094727e-01;1.6261119842529297e+00;8.8678401708602905e-01;0.0000000000000000e+00;4.5558919164035347e-06;8.5320091613208499e-16;1.3921031171791247e-07;3.9330488955462919e-09;1.8569948841895049e-03;2.4946275235697286e-06;1.6210817406509616e-14;2.4695623227145458e-08
147000000;1.5738879442214966e+00;8.2432001829147339e-01;1.5800319910049438e+00;8.2739198207855225e-01;1.4120960235595703e+00;1.6803840398788452e+00;8.2432001829147339e-01;1.6465920209884644e+00;8.9804798364639282e-01;0.0000000000000000e+00;1.7769867301809896e-06;1.5620091573787376e-15;9.3730281000083823e-08;1.3095927069865135e-08;1.2383793767165824e-03;4.8683706729749071e-07;1.0693755000515972e-14;4.8077517986513349e-07
149000000;1.5953919887542725e+00;8.3455997705459595e-01;1.6015360355377197e+00;8.3865600824356079e-01;1.4315520524978638e+00;1.7039359807968140e+00;8.3455997705459595e-01;1.6691199541091919e+00;9.1136002540588379e-01;0.0000000000000000e+00;1.0508358059520832e-07;2.4089160507941502e-15;1.0508358059520832e-07;2.4253770775127456e-08;2.3489115838723849e-03;4.2840281987553175e-07;1.1843837249737906e-14;2.6894991648994961e-09
151000000;1.6148480176925659e+00;8.4684801101684570e-01;1.6240639686584473e+00;8.5094398260116577e-01;1.4520319700241089e+00;1.7008639574050903e+00;8.4684801101684570e-01;1.6936960220336914e+00;9.2364799976348877e-01;0.0000000000000000e+00;1.6355890246882137e-06;2.1648610363822604e-14;2.5424986792285853e-07;1.8020006346474523e-08;2.9875225874182445e-03;5.0168568912157026e-07;1.5840446607675078e-15;1.2371791059935590e-07
153000000;1.6373759508132935e+00;8.5811197757720947e-01;1.6455680131912231e+00;8.6118400096893311e-01;1.4643199443817139e+00;1.7561600208282471e+00;8.5811197757720947e-01;1.7100800275802612e+00;9.3695998191833496e-01;0.0000000000000000e+00;4.4777075941577491e-05;5.9892281280937145e-14;8.1957710548944403e-07;3.0109268293838391e-08;8.5875782238770040e-03;5.6844531856881636e-05;4.1113703777175379e-14;1.6597164413650492e-06
155000000;1.6599040031433105e+00;8.6835199594497681e-01;1.6640000343322754e+00;8.7347197532653809e-01;1.4858239889144897e+00;1.7612799406051636e+00;8.6835199594497681e-01;1.7336319684982300e+00;9.4720000028610229e-01;0.0000000000000000e+00;6.1826408691405209e-06;1.1592648928619163e-14;2.6743353376502085e-07;1.2825333650328421e-08;4.4018208379165164e-03;3.0141832677132372e-06;2.0234441766317083e-14;1.7385031344276882e-06
157000000;1.6824320554733276e+00;8.7961602210998535e-01;1.6855039596557617e+00;8.8473600149154663e-01;1.5022079944610596e+00;1.7981439828872681e+00;8.8166397809982300e-01;1.7582080364227295e+00;9.6153599023818970e-01;0.0000000000000000e+00;5.9007341928158478e-07;2.2372362773446160e-15;6.5075897397045480e-08;1.0480121007159621e-08;1.7411243849708570e-03;1.7426745017681720e-07;8.3387897610117496e-15;6.5075897397045480e-08
159000000;1.7029119729995728e+00;8.9190399646759033e-01;1.7070080041885376e+00;8.9395201206207275e-01;1.5237120389938354e+00;1.7879040241241455e+00;8.9292800426483154e-01;1.7838079929351807e+00;9.7484797239303589e-01;0.0000000000000000e+00;2.7669711015013364e-06;1.1801169059565007e-15;8.4095876552344799e-08;4.8995716064092088e-09;1.7497944598154228e-03;4.6676824202037906e-06;7.0807014357390039e-15;3.3828441649264502e-07
161000000;1.7244160175323486e+00;9.0419197082519531e-01;1.7274880409240723e+00;9.0521597862243652e-01;1.5462399721145630e+00;1.8268159627914429e+00;9.0419197082519531e-01;1.8022400140762329e+00;9.8611199855804443e-01;0.0000000000000000e+00;4.2182732206539346e-06;1.9726078483674700e-15;1.7468208138131094e-07;6.1991172449516257e-09;3.0922703158913537e-03;1.0769056522030725e-06;2.3312638207979190e-15;1.8113737329916585e-06
163000000;1.7438720464706421e+00;9.1340798139572144e-01;1.7510399818420410e+00;9.1750401258468628e-01;1.5575040578842163e+00;1.8800640106201172e+00;9.1340798139572144e-01;1.8247679471969604e+00;9.9430400133132935e-01;0.0000000000000000e+00;3.3521490690487735e-06;1.1606064196823385e-15;1.7436035130842324e-07;1.8586394556445286e-08;2.6000416985418203e-03;4.8475790538677617e-06;2.3212128393646771e-16;2.4798149112376969e-06
165000000;1.7663999795913696e+00;9.2467200756072998e-01;1.7745920419692993e+00;9.2774397134780884e-01;1.5831040143966675e+00;1.9087359905242920e+00;9.2569601535797119e-01;1.8472959995269775e+00;1.0106879472732544e+00;0.0000000000000000e+00;1.9882842062203364e-04;5.4521682768744242e-13;8.0588687055709378e-06;1.1176354824898280e-07;8.9600746516622184e-02;1.3837471533505264e-04;5.9057886775103759e-13;8.9549626561866781e-05
167000000;1.7879040241241455e+00;9.3491202592849731e-01;1.7950719594955444e+00;9.3900799751281738e-01;1.5902719497680664e+00;1.9322880506515503e+00;9.3695998191833496e-01;1.8708479404449463e+00;1.0219520330429077e+00;0.0000000000000000e+00;1.5505241979226027e-06;3.5896062423039017e-15;1.5426692021630272e-07;1.2506123949459769e-08;6.6909947740733029e-04;6.0242142911805080e-09;5.9366564776564532e-15;3.1932423916813079e-06
169000000;1.8104319572448730e+00;9.4515198469161987e-01;1.8145279884338379e+00;9.5027202367782593e-01;1.6148480176925659e+00;1.9312640428543091e+00;9.4822400808334351e-01;1.8913279771804810e+00;1.0383360385894775e+00;0.0000000000000000e+00;6.1004933446056925e-08;1.0685604015755600e-15;1.3022139899426210e-07;1.3198350335977168e-08;5.5633840600233415e-04;3.4608232774102592e-08;4.8085218070900199e-15;2.4249373882780906e-06
171000000;1.8309119939804077e+00;9.5744001865386963e-01;1.8380800485610962e+00;9.6255999803543091e-01;1.6363519430160522e+00;1.9496959447860718e+00;9.5948797464370728e-01;1.9169280529022217e+00;1.0485759973526001e+00;0.0000000000000000e+00;1.1430594956550674e-06;2.6026034284147338e-15;6.7900970373964918e-08;2.5249834705191405e-08;3.5027227693233296e-04;4.3101868683463823e-06;1.5615620570488403e-15;1.3720122414821534e-06
173000000;1.8524160385131836e+00;9.6972799301147461e-01;1.8575359582901001e+00;9.7280001640319824e-01;1.6547839641571045e+00;1.9599360227584839e+00;9.6972799301147461e-01;1.9374079704284668e+00;1.0608639717102051e+00;0.0000000000000000e+00;3.0672404106801263e-06;3.3100967471968191e-16;4.2675243402505806e-08;2.3965806327836312e-08;1.3181424424353231e-04;7.5701735336159960e-07;3.3100967471968191e-16;1.5532057039569271e-06
175000000;1.8749439716339111e+00;9.8099201917648315e-01;1.8810880184173584e+00;9.8508799076080322e-01;1.6629760265350342e+00;2.0244479179382324e+00;9.8201602697372437e-01;1.9578880071640015e+00;1.0751999616622925e+00;0.0000000000000000e+00;7.3978021417666815e-06;3.0838054976177307e-15;5.2422472948220611e-08;1.6561088299139595e-08;8.7962595055338913e-04;3.4427446302513629e-06;9.7653840757894803e-15;1.2481375345691307e-06
177000000;1.8954240083694458e+00;9.9123197793960571e-01;1.9025919437408447e+00;9.9532800912857056e-01;1.7039359807968140e+00;2.0244479179382324e+00;9.9123197793960571e-01;1.9824639558792114e+00;1.0854400396347046e+00;0.0000000000000000e+00;3.7148235948919251e-06;3.0319004596976459e-15;8.3234456520628195e-08;1.3654779484794091e-08;5.5203038799677773e-04;2.7846869292398714e-06;4.6200387957297463e-15;7.0332556695533076e-07
179000000;1.9159040451049805e+00;1.0014719963073730e+00;1.9220479726791382e+00;1.0065920352935791e+00;1.7070080041885376e+00;2.0275199413299561e+00;1.0035200119018555e+00;2.0019199848175049e+00;1.0967040061950684e+00;0.0000000000000000e+00;9.5951070002730087e-06;4.0835371923649416e-16;5.8461335841655970e-08;2.3751126782752238e-08;3.4896815271383009e-04;5.3200589438037817e-06;1.2250611577094824e-15;3.5661930744830730e-06
181000000;1.9374079704284668e+00;1.0137599706649780e+00;1.9466240406036377e+00;1.0178560018539429e+00;1.7254400253295898e+00;2.0940799713134766e+00;1.0147839784622192e+00;2.0275199413299561e+00;1.1120640039443970e+00;0.0000000000000000e+00;6.4636803882345520e-06;5.9875713347987057e-15;3.4574621877674409e-08;1.2698214639655569e-08;8.7158198508465248e-04;8.3545938489277503e-06;1.2327352748114982e-15;2.5873077938134934e-06
183000000;1.9599360227584839e+00;1.0250240564346313e+00;1.9660799503326416e+00;1.0280959606170654e+00;1.7428480386734009e+00;2.1145598888397217e+00;1.0270719528198242e+00;2.0459520816802979e+00;1.1192320585250854e+00;0.0000000000000000e+00;5.3484866160348018e-08;2.7360572392159092e-15;1.7250121773227466e-07;2.5236605673770183e-08;1.5413975933654190e-03;6.3871185247793983e-06;2.2309389796683567e-14;5.5961672311552189e-06
185000000;1.9824639558792114e+00;1.0352640151977539e+00;1.9865599870681763e+00;1.0393600463867188e+00;1.7623039484024048e+00;2.0930559635162354e+00;1.0393600463867188e+00;2.0725760459899902e+00;1.1335680484771729e+00;0.0000000000000000e+00;9.0368171737790447e-07;9.5479219217749619e-15;2.3542973814389913e-07;8.6655737536301932e-09;2.4805692590329051e-03;1.0016573361552333e-05;7.4261614947138585e-15;1.1626544293361935e-05
187000000;2.0019199848175049e+00;1.0475519895553589e+00;2.0090880393981934e+00;1.0526720285415649e+00;1.7756160497665405e+00;2.1391360759735107e+00;1.0475519895553589e+00;2.0930559635162354e+00;1.1468800306320190e+00;0.0000000000000000e+00;3.1262046938557984e-07;3.9890119376479222e-15;8.8926620041406502e-08;1.1460152315340091e-08;1.0965132543004276e-03;1.7180352823800321e-06;1.1468409320737777e-14;4.3051710590247630e-06
189000000;2.0223999023437500e+00;1.0577919483184814e+00;2.0305919647216797e+00;1.0618879795074463e+00;1.8001919984817505e+00;2.1862399578094482e+00;1.0598399639129639e+00;2.1135358810424805e+00;1.1591680049896240e+00;0.0000000000000000e+00;2.0099877561821928e-02;7.8600946857960218e-11;3.0609209142918228e-03;8.0757935110923210e-05;3.8310672182975793e+01;7.8552819458080847e-02;1.4594569936784045e-10;1.0077815648595184e-01
191000000;2.0439040660858154e+00;1.0680320262908936e+00;2.0510718822479248e+00;1.0700800418853760e+00;1.8216960430145264e+00;2.1944320201873779e+00;1.0690560340881348e+00;2.1391360759735107e+00;1.1694079637527466e+00;0.0000000000000000e+00;8.1255796318873205e-06;1.8822085743889487e-14;3.8391960100880416e-07;9.9669980006736726e-09;5.8908853221850800e-03;5.5993220471212832e-06;2.6994833501104659e-14;1.9330851486754081e-05
193000000;2.0664319992065430e+00;1.0813440084457397e+00;2.0705280303955078e+00;1.0833920240402222e+00;1.8370560407638550e+00;2.2343680858612061e+00;1.0813440084457397e+00;2.1596159934997559e+00;1.1816960573196411e+00;0.0000000000000000e+00;8.6460914938137764e-06;9.1654393082403493e-14;1.4188902886091344e-06;3.2625436631904898e-08;1.6148631886119379e-02;2.1879678652184639e-05;3.0551464360801162e-14;5.6589901540408790e-05
195000000;2.0879359245300293e+00;1.0926079750061035e+00;2.0940799713134766e+00;1.0956799983978271e+00;1.8565119504928589e+00;2.2353920936584473e+00;1.0926079750061035e+00;2.1872639656066895e+00;1.1929600238800049e+00;0.0000000000000000e+00;1.2376982177771864e-06;1.1055244044120489e-14;3.0808247825256043e-07;1.3707585429040878e-08;2.8911985056907182e-03;9.0756887343348887e-07;9.8564826417459771e-15;9.9617843887005985e-06
