Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
50;+6.7840002477169037e-02;+6.4127996563911438e-02;+6.6495999693870544e-02;+6.7103996872901917e-02;+6.4608000218868256e-02;+2.8704000636935234e-02;+2.7936000376939774e-02
100;+7.2896003723144531e-02;+7.0592001080513000e-02;+7.1904003620147705e-02;+7.2255998849868774e-02;+7.0143997669219971e-02;+3.4784000366926193e-02;+3.4336000680923462e-02
150;+7.7247999608516693e-02;+7.1295998990535736e-02;+7.5712002813816071e-02;+7.6095998287200928e-02;+7.1488000452518463e-02;+3.7344001233577728e-02;+3.5039998590946198e-02
200;+8.1887997686862946e-02;+7.6736003160476685e-02;+8.1183999776840210e-02;+8.2368001341819763e-02;+7.7408000826835632e-02;+4.2112000286579132e-02;+3.9487998932600021e-02
250;+8.4031999111175537e-02;+7.9328000545501709e-02;+8.5568003356456757e-02;+8.6112000048160553e-02;+8.0288000404834747e-02;+4.5855998992919922e-02;+4.2720001190900803e-02
300;+8.9472003281116486e-02;+8.3456002175807953e-02;+9.1551996767520905e-02;+9.1775998473167419e-02;+8.3871997892856598e-02;+5.0783999264240265e-02;+4.7423999756574631e-02
350;+9.5871999859809875e-02;+8.6847998201847076e-02;+9.5455996692180634e-02;+9.6575997769832611e-02;+8.6592003703117371e-02;+5.3695999085903168e-02;+5.0335999578237534e-02
400;+9.8463997244834900e-02;+9.1935999691486359e-02;+1.0086400061845779e-01;+1.0211200267076492e-01;+9.1647997498512268e-02;+6.0192000120878220e-02;+5.5392000824213028e-02
450;+1.0470400005578995e-01;+9.5392003655433655e-02;+1.0684800148010254e-01;+1.0745599865913391e-01;+9.7120001912117004e-02;+6.6335998475551605e-02;+6.0832001268863678e-02
500;+1.0809600353240967e-01;+9.8783999681472778e-02;+1.0998400300741196e-01;+1.1078400164842606e-01;+9.9040001630783081e-02;+6.9183997809886932e-02;+6.3936002552509308e-02
550;+1.1296000331640244e-01;+1.0403200238943100e-01;+1.1561600118875504e-01;+1.1715199798345566e-01;+1.0335999727249146e-01;+7.7055998146533966e-02;+6.9568000733852386e-02
600;+1.1612799763679504e-01;+1.0630399733781815e-01;+1.1964800208806992e-01;+1.2220799922943115e-01;+1.0745599865913391e-01;+7.8336000442504883e-02;+7.2255998849868774e-02
650;+1.2233600020408630e-01;+1.1123199760913849e-01;+1.2588800489902496e-01;+1.2751999497413635e-01;+1.1168000102043152e-01;+8.4384001791477203e-02;+7.7087998390197754e-02
700;+1.2559999525547028e-01;+1.1452800035476685e-01;+1.2966400384902954e-01;+1.3177600502967834e-01;+1.1494400352239609e-01;+8.6112000048160553e-02;+7.9520002007484436e-02
750;+1.3097600638866425e-01;+1.1875200271606445e-01;+1.3536000251770020e-01;+1.3721600174903870e-01;+1.1945600062608719e-01;+9.2416003346443176e-02;+8.4767997264862061e-02
800;+1.3427199423313141e-01;+1.2188799679279327e-01;+1.3948799669742584e-01;+1.4076800644397736e-01;+1.2243200093507767e-01;+9.4208002090454102e-02;+8.7232001125812531e-02
850;+1.3990400731563568e-01;+1.2630400061607361e-01;+1.4505599439144135e-01;+1.4700800180435181e-01;+1.2694400548934937e-01;+1.0115200281143188e-01;+9.2767998576164246e-02
900;+1.4515200257301331e-01;+1.3068799674510956e-01;+1.5052799880504608e-01;+1.5225599706172943e-01;+1.3094399869441986e-01;+1.0726399719715118e-01;+9.7439996898174286e-02
950;+1.4912000298500061e-01;+1.3347199559211731e-01;+1.5558399260044098e-01;+1.5628799796104431e-01;+1.3417600095272064e-01;+1.0985600203275681e-01;+1.0019200295209885e-01
1000;+1.5657599270343781e-01;+1.3756799697875977e-01;+1.6380800306797028e-01;+1.6188800334930420e-01;+1.3798399269580841e-01;+1.1631999909877777e-01;+1.0563199967145920e-01
1050;+1.6412800550460815e-01;+1.4086399972438812e-01;+1.7190399765968323e-01;+1.6611200571060181e-01;+1.4140799641609192e-01;+1.2092799693346024e-01;+1.0745599865913391e-01
1100;+1.7763200402259827e-01;+1.4499199390411377e-01;+1.8489600718021393e-01;+1.7158399522304535e-01;+1.4575999975204468e-01;+1.3040000200271606e-01;+1.1315199732780457e-01
1150;+1.8825599551200867e-01;+1.4806400239467621e-01;+1.9622400403022766e-01;+1.7520000040531158e-01;+1.4860799908638000e-01;+1.3321599364280701e-01;+1.1513599753379822e-01
1200;+2.0326399803161621e-01;+1.5267199277877808e-01;+2.1129600703716278e-01;+1.8086400628089905e-01;+1.5321600437164307e-01;+1.4044800400733948e-01;+1.2131199985742569e-01
1250;+2.1574400365352631e-01;+1.5721599757671356e-01;+2.2451199591159821e-01;+1.8671999871730804e-01;+1.5756799280643463e-01;+1.4854399859905243e-01;+1.2547199428081512e-01
1300;+2.2892799973487854e-01;+1.6217599809169769e-01;+2.3878400027751923e-01;+1.9260799884796143e-01;+1.6335999965667725e-01;+1.5263999998569489e-01;+1.2943999469280243e-01
1350;+2.4419200420379639e-01;+1.6915200650691986e-01;+2.5305598974227905e-01;+2.0105600357055664e-01;+1.6998399794101715e-01;+1.5945599973201752e-01;+1.3648000359535217e-01
1400;+2.5200000405311584e-01;+1.7628799378871918e-01;+2.6121601462364197e-01;+2.0899200439453125e-01;+1.7702400684356689e-01;+1.6294400393962860e-01;+1.4166399836540222e-01
1450;+2.6121601462364197e-01;+1.8579199910163879e-01;+2.7004799246788025e-01;+2.1910400688648224e-01;+1.8627199530601501e-01;+1.7043200135231018e-01;+1.4940799772739410e-01
1500;+2.6806399226188660e-01;+1.9363200664520264e-01;+2.7807998657226562e-01;+2.2774399816989899e-01;+1.9353599846363068e-01;+1.7360000312328339e-01;+1.5459200739860535e-01
1550;+2.7593600749969482e-01;+2.0496000349521637e-01;+2.8505599498748779e-01;+2.4048000574111938e-01;+2.0611199736595154e-01;+1.8150399625301361e-01;+1.6342400014400482e-01
1600;+2.8166401386260986e-01;+2.1593600511550903e-01;+2.9302400350570679e-01;+2.5216001272201538e-01;+2.1689599752426147e-01;+1.8422399461269379e-01;+1.6911999881267548e-01
1650;+2.9017600417137146e-01;+2.2969600558280945e-01;+3.0127999186515808e-01;+2.6774400472640991e-01;+2.3033599555492401e-01;+1.9084799289703369e-01;+1.7884799838066101e-01
1700;+2.9875200986862183e-01;+2.4288000166416168e-01;+3.0911999940872192e-01;+2.8185600042343140e-01;+2.4332800507545471e-01;+1.9804799556732178e-01;+1.8761600553989410e-01
1750;+3.0393600463867188e-01;+2.5222399830818176e-01;+3.1555199623107910e-01;+2.9203200340270996e-01;+2.5248000025749207e-01;+2.0086400210857391e-01;+1.9254399836063385e-01
1800;+3.1196799874305725e-01;+2.6464000344276428e-01;+3.2380801439285278e-01;+3.0425599217414856e-01;+2.6585599780082703e-01;+2.0947200059890747e-01;+2.0112000405788422e-01
1850;+3.1753599643707275e-01;+2.7535998821258545e-01;+3.2867199182510376e-01;+3.1648001074790955e-01;+2.7635198831558228e-01;+2.1014399826526642e-01;+2.0508800446987152e-01
