Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
107000000;0.0000000000000000e+00;9.3757551089090716e-07;7.3916773600116127e-16;2.6444355629008605e-08;1.2709096975792800e-08;1.4114004057538348e-03;1.0337591333441157e-06;1.1338406094843634e-15;3.0765871331629225e-07
109000000;0.0000000000000000e+00;5.5639349201275884e-07;8.2015612436010907e-16;2.8404558263714073e-08;9.0501744627067930e-09;1.1166668336125875e-03;5.4428062357288971e-07;1.8734388751176733e-15;2.6876542088454438e-07
111000000;0.0000000000000000e+00;5.8157846108558958e-07;1.3070815614532445e-15;2.8062903048787261e-08;1.6944368624415716e-08;1.8256609913748730e-03;5.6644561095631402e-07;1.5081904800647985e-15;3.0489806114077835e-07
113000000;0.0000000000000000e+00;8.7188042808480231e-07;1.0964269781658443e-15;2.1597781790051313e-08;5.3416499230528239e-09;1.5176935718646490e-03;1.0304334534344525e-06;1.7273545758952229e-15;1.5594375150846068e-07
115000000;0.0000000000000000e+00;4.9788376072650491e-07;9.3725020947850768e-16;2.6975457810144310e-08;1.6279945582263669e-08;1.2754346699198884e-03;6.6510398655906784e-07;1.8638798828966640e-15;1.0507223575122920e-07
117000000;0.0000000000000000e+00;6.9954576993366509e-07;1.2324921325072639e-15;1.6130500132044565e-08;1.5392749879041390e-08;1.3910461507392852e-03;5.1252944994017222e-07;2.2373094462751410e-15;3.8699745759702529e-07
119000000;0.0000000000000000e+00;9.1033088294033161e-07;1.1419483862799273e-15;1.9325135493376928e-08;1.2646786810477211e-08;1.4841253237077219e-03;5.7722524505890960e-07;3.9971675982707757e-15;3.1850179752870341e-07
121000000;0.0000000000000000e+00;5.8486110582278488e-07;2.0516075447842007e-15;4.6079466693665636e-08;1.3774240695179619e-08;1.3553337308705425e-03;5.1723170856667281e-07;3.0623792651134702e-15;2.9652904471571038e-07
123000000;0.0000000000000000e+00;1.4597410314918181e-06;1.1933856228561339e-15;4.3286211177287112e-08;1.9321902342491076e-08;1.4695371439124786e-03;1.0440812517720804e-06;2.9111942000203959e-15;2.2207000092074996e-07
125000000;0.0000000000000000e+00;5.2727696317736234e-07;1.2062881955182797e-15;5.0080068511996547e-08;1.7292795860981114e-08;1.7942210233684302e-03;1.1108163712091487e-06;1.2760660430112939e-15;3.1941096812076217e-07
127000000;0.0000000000000000e+00;4.0148721993090912e-07;2.5576720721434258e-15;2.2281126466025199e-08;1.4896844671757148e-08;1.2640923064730267e-03;3.9325180642188799e-07;2.2156271812592135e-15;3.0117617338364397e-07
129000000;0.0000000000000000e+00;1.4061741624237344e-06;7.9610148058545853e-16;2.4507405244370047e-08;1.4502879290703000e-08;1.5388372596599588e-03;8.9700091552673261e-07;1.4097914948081503e-15;3.8691504970226820e-07
131000000;0.0000000000000000e+00;8.6422813741606525e-07;2.8045079878654803e-15;2.1156448414212887e-08;1.9817625574831252e-08;1.0295616539685163e-03;8.5864356785662664e-07;2.1934055135950307e-15;3.1615580845664990e-07
133000000;0.0000000000000000e+00;6.3914466615168537e-07;1.4551537444846560e-15;3.4930087911126164e-08;1.3242798783087944e-08;1.1344514930500785e-03;1.4333586564466859e-06;4.1106550087496931e-15;4.2708825697141499e-07
135000000;0.0000000000000000e+00;1.1678791818810240e-06;1.7428949903353961e-15;5.3058803275630906e-08;1.7354805348624216e-08;9.5430512493703318e-04;1.2134593559609737e-06;3.2417769337497077e-15;4.5925114410376430e-07
137000000;0.0000000000000000e+00;1.5350569150146761e-06;2.1905930046487343e-15;6.9359576986104512e-08;3.0931083922580078e-08;1.3625042030466772e-03;9.4811527853037044e-07;3.2909313607065328e-15;8.0330680719648541e-07
139000000;0.0000000000000000e+00;1.2499837166890153e-06;1.9052810503589931e-15;4.5804925608561870e-08;2.5232003584417907e-08;1.7532499020646269e-03;1.8006162521533372e-06;2.5341091711287454e-15;4.1571527122918246e-07
141000000;0.0000000000000000e+00;1.6393504711679141e-06;3.6135929784177066e-15;4.1374812558852345e-08;2.6118699033967653e-08;2.2731583998138460e-03;2.8769778043001056e-06;4.2306929480880169e-15;9.2225359017852039e-07
143000000;0.0000000000000000e+00;8.9528430627149382e-07;5.3789068302170261e-15;5.6105043282924392e-08;1.6753977169619411e-08;2.0588983166292827e-03;1.0561480835251964e-06;3.1914545353697212e-15;8.1856268078477171e-07
145000000;0.0000000000000000e+00;2.2919144353164888e-06;3.0778100576999260e-15;5.9690679634941484e-08;1.2493453394074702e-08;2.2239133534969376e-03;2.8127640407472105e-06;7.0474340847576030e-15;4.4326437600355405e-07
147000000;0.0000000000000000e+00;1.5820581490604288e-06;1.5255691642114095e-15;2.0218552434118077e-08;2.1310391867982798e-08;1.6315547289550453e-03;2.2550715608245391e-06;3.0915782493475445e-15;6.3907360014527568e-07
149000000;0.0000000000000000e+00;1.9800331475972384e-06;2.4015587504475687e-15;7.4044791241027998e-08;8.4905936712105256e-09;2.4780723978359634e-03;3.2991314938098203e-06;7.6637573218035847e-15;8.5354135217318492e-07
151000000;0.0000000000000000e+00;2.0300456799254816e-06;5.6105643181225681e-15;7.0308195640576186e-08;8.5575073064375477e-09;2.8030200598594427e-03;1.2579769561636064e-06;2.6881620839053966e-15;4.7667991575300193e-07
153000000;0.0000000000000000e+00;2.4030528183651073e-06;2.4996660041266913e-15;2.1264139795723667e-08;8.4790378449529152e-09;1.9859898346224788e-03;2.1176482214270056e-06;3.9914559981575683e-15;6.7854024536120728e-07
155000000;0.0000000000000000e+00;2.3377704618042207e-06;2.9204170820049625e-15;3.3882217249471047e-08;1.2138665656520612e-08;2.1811158573718601e-03;2.6023395337952917e-06;5.3655858502675986e-15;8.2587108453004075e-07
157000000;0.0000000000000000e+00;1.0926795760194896e-06;2.9247276236062383e-15;2.6464131310989599e-08;1.0033799395310202e-08;1.3422058565761355e-03;1.0434223081142693e-06;4.0491231670069789e-15;3.3313352794337066e-07
159000000;0.0000000000000000e+00;6.6227586197831267e-07;2.0501577626869906e-15;3.0985640863902047e-08;9.8921114778252442e-09;1.8034202878357141e-03;7.1403257010437675e-07;4.1236094015946690e-15;3.3911864773741836e-07
161000000;0.0000000000000000e+00;1.4683041969515991e-06;2.2751629823983422e-15;2.2502307562290693e-08;1.4092232496352753e-08;1.5684630937923348e-03;1.9901567371189388e-06;6.1407175274667954e-15;5.3945507445948082e-07
163000000;0.0000000000000000e+00;1.0747486712331542e-06;2.1651388536563290e-15;1.9634580889451009e-08;9.2453068950526721e-09;1.3865379119394894e-03;7.8644663258278118e-07;4.0848556772273289e-15;5.9377128558401001e-07
165000000;0.0000000000000000e+00;9.9801149331692594e-07;2.5858732579676448e-15;2.2131451379992370e-08;9.4251943506859262e-09;1.7251053488996876e-03;1.0703338617609808e-06;3.1849423947884571e-15;3.3814328189066671e-07
167000000;0.0000000000000000e+00;1.0156903851121616e-06;1.0197359469992000e-15;3.6017867174142522e-08;1.0562276731801789e-08;1.1488257072156804e-03;1.0279611896514845e-06;2.2289759684296104e-15;6.7067981814373836e-07
169000000;0.0000000000000000e+00;1.5908803173419632e-06;1.9155587229072066e-15;3.3427267429749645e-08;1.2617954313139454e-08;1.5445066966841663e-03;5.9646311781034759e-07;2.7740587007294520e-15;5.3608464835343153e-07
171000000;0.0000000000000000e+00;8.4529720966937236e-07;2.1875940072464307e-15;5.6530789674829515e-08;1.2989637983665558e-08;1.5457159744543623e-03;1.3725390605593975e-06;3.0614475020095188e-15;4.9621483876194779e-07
173000000;0.0000000000000000e+00;8.3161922018150525e-07;3.2138476788242497e-15;3.5674147200841474e-08;1.7159889850717670e-08;1.6333418965115486e-03;6.8629432110825392e-07;2.1861502604649087e-15;5.1240566895595660e-07
175000000;0.0000000000000000e+00;8.6396165359374747e-07;2.4419694621112559e-15;3.5414746897538307e-08;1.8596664447261861e-08;1.1691151806670025e-03;1.4666617013727802e-06;2.3234322810885045e-15;5.5690075437026849e-07
177000000;0.0000000000000000e+00;9.2494778710180537e-07;1.3236274573972298e-15;3.4924048875097271e-08;1.1927024459506049e-08;1.5200283938581528e-03;7.4076815194118251e-07;2.0819149557620221e-15;5.4485412310096229e-07
179000000;0.0000000000000000e+00;1.2110867663488825e-06;2.8895160762153017e-15;4.7239315193138661e-08;2.3769786048263992e-08;9.8133783682502473e-04;1.7096488484553936e-06;3.1419246265087631e-15;5.0140471970065321e-07
181000000;0.0000000000000000e+00;2.7858049139878454e-06;4.1758328961014243e-15;1.2229473492147859e-08;1.1747213327621370e-08;1.5244918360278661e-03;1.7862452060029073e-06;1.5783214262834644e-15;4.3750824489011457e-07
183000000;0.0000000000000000e+00;1.9311671682172035e-06;1.6051340212485857e-15;1.4643093327973725e-08;1.6711871011967225e-08;1.2259457765793906e-03;1.3740863619792388e-06;7.3419012526080501e-15;4.8231769171555071e-07
185000000;0.0000000000000000e+00;7.8172475529641513e-07;1.9481981835923108e-15;3.3853410202101231e-08;1.6670296936706663e-08;1.8125964879186971e-03;2.1491910498375171e-06;2.5926470495382030e-15;3.8687026593567503e-07
187000000;0.0000000000000000e+00;3.1549631131510766e-06;2.0703856714148292e-15;3.2954748480256867e-08;1.6404875984026038e-08;1.2611281927976386e-03;4.3250437293313760e-06;3.1531942658660662e-15;8.0925592206918048e-07
189000000;0.0000000000000000e+00;2.9183181387339676e-06;3.1834760160000541e-15;4.8950144325556092e-08;1.8951703409233239e-08;2.2158785228467721e-03;3.1526895425553778e-06;3.5137429530984765e-15;1.0149211947151978e-06
191000000;0.0000000000000000e+00;2.6108693612536406e-06;6.1492332344829823e-15;6.9100073891988483e-08;1.2915482373004062e-08;2.4388226513733331e-03;5.0642650417810725e-06;1.4107674764332433e-14;1.9553729694554619e-06
193000000;0.0000000000000000e+00;5.5086567293511921e-06;7.6181412716708280e-15;8.5593579852848014e-08;1.4074722437594240e-08;6.2133192892072989e-03;8.9238895505525973e-06;4.2925201923457728e-14;3.1253484225447430e-06
195000000;0.0000000000000000e+00;2.5067649138514752e-06;1.9494466753318592e-15;7.8067950379737323e-08;9.0969527531851278e-09;2.1677645169564733e-03;2.7426544502705543e-06;6.1813171742220654e-15;1.7524202512088241e-06
197000000;0.0000000000000000e+00;8.6525592658031303e-06;5.7725066210204943e-15;9.8734530763412921e-08;2.2303401611443991e-08;9.0708911202184127e-03;6.7542732295652836e-06;1.8628420632203557e-14;4.3110467889992598e-06
199000000;0.0000000000000000e+00;5.0393270702193294e-06;1.7021494403139297e-15;1.2291900168748550e-07;1.5112772222126007e-08;4.2964455134017233e-03;3.4881233379608292e-06;9.5226228238759746e-15;3.6642619606904173e-06
201000000;0.0000000000000000e+00;2.7931289199587676e-06;4.0669529429001586e-15;5.4125309084502600e-08;2.2158625583507117e-08;3.1206042780436249e-03;3.8545919060211102e-06;9.2572480374060390e-15;1.7176633748866957e-06
203000000;0.0000000000000000e+00;4.7029775997839750e-06;5.1406951740752114e-15;5.0779836982280693e-08;1.2341365425957300e-08;2.7752651494723016e-03;2.1427037720936255e-06;5.1229849017147495e-15;1.8221158715296315e-06
205000000;0.0000000000000000e+00;2.2941608379904324e-06;5.4321663115301653e-15;4.7125580322806671e-08;2.6073885906625883e-08;2.7905455506273547e-03;2.0704970652757547e-06;3.8959262293640764e-15;1.4206397480589435e-06
207000000;0.0000000000000000e+00;1.2002443391985722e-06;3.2213020741735954e-15;3.5192817800450457e-08;1.6901425209949428e-08;1.9728686022904250e-03;1.6111510627049098e-06;5.3617809083844026e-15;1.1048746454885280e-06
209000000;0.0000000000000000e+00;8.8830401826452426e-07;2.1605848320396279e-15;2.5607276287763043e-08;2.0646011497596869e-08;1.8821177318322111e-03;1.4306662879303860e-06;4.1836003177362669e-15;8.3612047233648952e-07
211000000;0.0000000000000000e+00;9.0537967458899644e-07;1.0903692001564165e-15;3.0687894285989388e-08;1.4313382054896708e-08;1.5118751348939309e-03;5.5842298149705509e-07;3.4009739690210443e-15;9.1337636159295432e-07
213000000;0.0000000000000000e+00;1.2731314635469017e-06;2.6460616175135506e-15;2.0583154120633601e-08;1.6127549774574105e-08;2.1417410117549772e-03;1.3218067417927942e-06;2.4239520700492927e-15;8.8327777600341750e-07
215000000;0.0000000000000000e+00;1.1600258875699324e-06;2.2735988210627344e-15;2.4043855218101611e-08;1.0060822880256133e-08;1.3513068816862310e-03;9.4432337918490391e-07;2.7408376877971203e-15;5.4537963313312777e-07
217000000;0.0000000000000000e+00;1.0563472105070243e-06;2.2713623002245243e-15;2.8857728734585302e-08;1.3865206967960130e-08;1.1861359256481298e-03;9.3307058214314182e-07;3.2454673199610807e-15;7.0095280575054440e-07
219000000;0.0000000000000000e+00;1.3061849092021545e-06;1.4992234186742484e-15;2.1309492723409468e-08;1.5018620068523610e-08;1.0178216060288824e-03;7.1282887911910026e-07;2.1138474017547322e-15;7.2761184863990768e-07
221000000;0.0000000000000000e+00;9.1260697347421600e-07;1.6646620191661231e-15;3.5181005667279097e-08;1.3019486080464333e-08;1.1008217734780590e-03;9.6422098453129073e-07;2.1298735967656294e-15;8.0737313833357646e-07
223000000;0.0000000000000000e+00;6.9788904697946612e-07;2.1239034867767465e-15;2.4277556114121866e-08;1.5675242639902843e-08;8.9856973451794852e-04;7.1323981110416843e-07;1.6389121109527999e-15;7.4566897092234582e-07
225000000;0.0000000000000000e+00;9.5942749440679189e-07;1.8072886609913872e-15;4.5387947190841685e-09;1.8502902088994932e-08;1.0478024259093143e-03;9.3069736989480076e-07;2.0913746168887758e-15;5.8631941027257224e-07
227000000;0.0000000000000000e+00;1.2354519746193193e-06;1.0199887747991701e-15;2.8875579730018371e-08;1.9008728607321284e-08;1.4961234864987109e-03;1.0462658138825044e-06;3.0485655072339679e-15;9.2042095811538411e-07
229000000;0.0000000000000000e+00;1.1606244554246337e-06;1.6109665183865046e-15;2.5055128171380351e-08;1.5523989968224198e-08;1.0315654823722837e-03;1.6653760522600054e-06;3.1709089045783490e-15;6.9186564056898440e-07
231000000;0.0000000000000000e+00;7.7565620328056938e-07;1.3704855956196409e-15;3.5947692616618591e-08;1.3555795290108645e-08;8.1257994696837222e-04;8.5447363987857743e-07;2.5834173928767518e-15;5.9466256235148557e-07
233000000;0.0000000000000000e+00;1.0606216662147304e-06;1.2510034060470107e-15;2.6137685617060214e-08;1.3662116566241966e-08;1.0076550339322096e-03;1.2184117548766619e-06;3.0796490141124511e-15;8.0073059931272430e-07
235000000;0.0000000000000000e+00;8.8971973651138635e-07;1.3148058975637405e-15;3.2383166567515621e-08;1.7122013941108390e-08;1.0208236193730530e-03;6.7381775634824917e-07;2.1136798268137459e-15;5.9049670931174574e-07
237000000;0.0000000000000000e+00;5.6381463340506009e-07;1.3304863464721773e-15;2.1949250408920958e-08;2.0818626833749349e-08;9.2503554971873196e-04;4.6095327716154849e-07;4.1065933529856119e-15;7.4262412475508397e-07
239000000;0.0000000000000000e+00;1.1034920105038412e-06;1.0825014966459134e-15;1.7434256007635897e-08;1.3907368211042975e-08;6.0121957706285080e-04;1.4255095644273450e-06;3.2871365670907723e-15;4.4383052594355746e-07
241000000;0.0000000000000000e+00;1.5683286274070502e-06;8.8660440493272500e-16;2.0109389797613303e-08;2.0605074523727620e-08;1.1616814056047186e-03;2.1561722391093672e-06;3.0840241696676415e-15;6.1935761490480603e-07
