Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
1000000;0.0000000000000000e+00;3.7633667059323211e-07;1.9353609923514048e-15;2.9871461504655931e-08;5.0153722498780666e-07;1.8300302030686778e-15;1.3764389324327484e-07
3000000;0.0000000000000000e+00;1.0046540232775516e-06;2.5740617285380447e-15;4.0205559578331158e-08;1.0469216200983254e-06;1.8446474814581259e-15;2.2855091321815577e-07
5000000;0.0000000000000000e+00;5.2574026535248636e-07;1.9757332626930572e-15;5.0993382296876440e-08;5.3773861032512050e-07;1.8271946333108038e-15;2.3062555867732789e-07
7000000;0.0000000000000000e+00;1.0385625374390056e-06;2.2481496797390785e-15;2.4379098395564884e-08;7.8727379542023293e-07;3.0350546072764895e-15;1.4119302458982395e-07
9000000;0.0000000000000000e+00;3.7137526071830760e-07;2.6079061153516163e-15;5.5576284342281493e-08;1.0698607511776581e-06;4.2104542009084692e-15;1.6109913029139223e-07
11000000;0.0000000000000000e+00;6.1831350164121308e-07;1.7145288338902365e-15;2.9672625022007789e-08;7.1560765205112711e-07;1.2177130712579433e-15;1.9074296779193500e-07
13000000;0.0000000000000000e+00;9.4166801735125180e-07;1.2743976718559994e-15;6.9415905185529190e-08;5.1867321409219259e-07;1.5169597990867639e-15;1.8916271479542956e-07
15000000;0.0000000000000000e+00;9.5327561321263152e-07;9.8422406470358601e-16;6.0151758535173128e-08;1.0749819191403030e-06;1.0174562989565437e-15;2.4813754726454072e-07
17000000;0.0000000000000000e+00;1.2051456685440492e-06;1.6534545117156806e-15;5.7385332147567692e-08;1.0330852544187771e-06;1.9492273066285844e-15;3.0279129508055618e-07
19000000;0.0000000000000000e+00;4.9302208052506390e-07;1.4342850959026036e-15;6.0099725255808434e-08;6.3602134237444769e-07;1.2758790529192755e-15;2.5649525864967618e-07
21000000;0.0000000000000000e+00;3.6814411893772378e-07;1.4234662817541706e-15;4.6955434755873473e-08;7.3334924641532032e-07;1.0313669688293152e-15;2.5965711985815387e-07
23000000;0.0000000000000000e+00;4.5467397972588560e-07;1.1247335072742807e-15;5.8385474572414075e-08;6.5461444895376773e-07;2.6155585059189079e-15;2.7307925094686164e-07
25000000;0.0000000000000000e+00;8.7761976576157525e-07;9.1398553651118741e-16;5.7989888329111742e-08;1.4701184277231719e-06;1.8212919276178378e-15;2.3148432235028175e-07
27000000;0.0000000000000000e+00;2.4481072523146606e-07;6.2072461167975832e-16;5.2667292727414238e-08;5.1720814468323351e-07;1.1466629855220672e-15;2.0000507192118360e-07
29000000;0.0000000000000000e+00;7.9255956847857342e-07;1.3807471711322299e-15;4.8848696743553518e-08;8.5495895608454252e-07;1.1655750563242549e-15;2.4659812945433491e-07
31000000;0.0000000000000000e+00;7.9172984614518063e-07;1.9088255679340931e-15;4.4335228700669511e-08;7.9760433721845780e-07;1.1506205924925775e-15;3.8740292772925685e-07
33000000;0.0000000000000000e+00;7.6540522168121936e-07;1.4607704353659794e-15;2.7882724960760359e-08;5.7302728104007485e-07;1.1846089663617683e-15;2.0675278377558318e-07
35000000;0.0000000000000000e+00;6.5019822255729934e-07;1.4880275624287419e-15;3.0777253978429975e-08;1.1529154110923674e-06;9.7327531641329516e-16;1.4548049730710001e-07
37000000;0.0000000000000000e+00;5.5993820647819777e-07;1.3728313790143294e-15;4.3439765080783456e-08;4.6522887320961522e-07;6.1305010331416101e-16;2.8275840279091415e-07
39000000;0.0000000000000000e+00;6.3415108626170737e-07;9.0917695330596032e-16;5.1539643719314407e-08;8.6893621771041917e-07;1.1521520273910577e-15;3.4380545657369138e-07
41000000;0.0000000000000000e+00;6.6394403247089237e-07;1.8182397894446078e-15;5.1104500297549909e-08;5.3504498287293646e-07;1.6809602606282545e-15;2.8686171308407764e-07
43000000;0.0000000000000000e+00;4.9862960139037641e-07;8.6389420573514288e-16;3.5185448130888948e-08;5.9930667172322837e-07;1.0363186344155461e-15;3.2149948987719670e-07
45000000;0.0000000000000000e+00;7.0015718361733550e-07;6.9727908698043267e-16;3.8474708120687112e-08;7.1667822797459014e-07;1.0819155614157630e-15;2.7665630837390167e-07
47000000;0.0000000000000000e+00;7.0912886605494588e-07;1.1265079167984579e-15;3.1016957835459998e-08;8.8726384404865282e-07;9.3998454903433556e-16;2.3545498174742031e-07
49000000;0.0000000000000000e+00;7.0074848036381020e-07;7.0556753844158575e-16;2.9808455957364938e-08;6.3955571741776657e-07;1.2868998538931638e-15;3.4267610118136409e-07
51000000;0.0000000000000000e+00;6.6399552977903737e-07;1.4466006814603787e-15;2.5111335732568055e-08;5.8259133066924839e-07;2.0461847750474070e-15;2.4736100821852753e-07
53000000;0.0000000000000000e+00;6.7409849815522608e-07;1.3126819650633872e-15;2.6622988923255863e-08;4.0702252764374627e-07;1.5054381643866470e-15;3.3142401455336735e-07
55000000;0.0000000000000000e+00;1.4217989256767919e-06;2.2702157276982991e-15;1.8658134112529909e-08;1.0241181212482209e-06;1.6634710198695563e-15;3.6951892949536019e-07
57000000;0.0000000000000000e+00;9.0525898350994815e-07;2.3652172415710704e-15;2.3089388814457870e-08;4.5497683485859444e-07;1.1044299216643540e-15;9.0492397209492840e-07
59000000;0.0000000000000000e+00;1.4760908222531778e-06;2.3270065172950876e-15;3.4203307154332275e-08;1.7594220871305826e-06;2.2478828667702122e-15;8.2490107879275606e-07
61000000;0.0000000000000000e+00;1.0035588003801404e-06;1.5160641496885235e-15;1.1269674848974861e-08;1.0147210647737591e-06;1.4376070467969455e-15;5.1718781476207104e-07
63000000;0.0000000000000000e+00;1.0292090970002396e-06;1.7178259603499597e-15;2.2394722907157934e-08;5.0568607695157977e-07;2.0799822817928327e-15;8.2881596290182486e-07
65000000;0.0000000000000000e+00;1.1027812244193371e-06;1.6996063636114177e-15;1.8620052880722194e-08;9.1078967874616812e-07;2.0902848289424728e-15;7.4955875719530736e-07
67000000;0.0000000000000000e+00;8.6107808268597419e-07;2.3289514457312668e-15;1.7824037235480513e-08;9.3618146998539974e-07;2.3472873596940206e-15;6.7470359532787639e-07
69000000;0.0000000000000000e+00;9.2956381191379532e-07;1.6510321619981862e-15;2.2314999745441944e-08;1.1403957687728805e-06;2.3605894309443470e-15;5.9101210545926837e-07
71000000;0.0000000000000000e+00;4.3705475357043571e-07;7.7868159525455050e-16;1.9460306951953511e-08;4.7511390169332615e-07;3.9448953288209424e-15;5.3379448412624431e-07
73000000;0.0000000000000000e+00;1.3523617812480319e-06;9.9163880786993957e-16;1.4508103160559065e-08;1.1767155505654955e-06;1.9415165403321592e-15;4.5676743261026991e-07
75000000;0.0000000000000000e+00;8.4710904518015395e-07;1.8913298045982347e-15;1.7991285644610480e-08;1.6668931418054945e-06;1.2896297946518140e-15;7.4108513448461302e-07
77000000;0.0000000000000000e+00;7.7291957651468359e-07;1.9179900168903464e-15;1.2480915650823351e-08;7.7208356057504184e-07;2.4008089736845869e-15;6.5469101696024046e-07
