Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;2.5000102635429878e+05;2.5000106250000000e+05;2.5000102635429875e+05;2.5000103125000000e+05;2.5000106250000000e+05;2.5000102635429878e+05;2.5000103125000000e+05
1;1000000;2.4977439134532269e+05;2.4977434375000000e+05;2.4977439134532269e+05;2.4977439062500000e+05;2.4977437500000000e+05;2.4977439134532236e+05;2.4977439062500000e+05
2;1000000;2.5005753281970409e+05;2.5005731250000000e+05;2.5005753281970409e+05;2.5005753125000000e+05;2.5005729687500000e+05;2.5005753281970456e+05;2.5005753125000000e+05
3;1000000;2.4988896375374807e+05;2.4988896875000000e+05;2.4988896375374804e+05;2.4988896875000000e+05;2.4988896875000000e+05;2.4988896375374804e+05;2.4988895312500000e+05
4;1000000;2.4997278791015793e+05;2.4997279687500000e+05;2.4997278791015790e+05;2.4997278125000000e+05;2.4997276562500000e+05;2.4997278791015781e+05;2.4997279687500000e+05
5;1000000;2.5045582809190979e+05;2.5045575000000000e+05;2.5045582809190979e+05;2.5045582812500000e+05;2.5045575000000000e+05;2.5045582809191005e+05;2.5045582812500000e+05
6;1000000;2.4989841545696472e+05;2.4989854687500000e+05;2.4989841545696469e+05;2.4989842187500000e+05;2.4989851562500000e+05;2.4989841545696478e+05;2.4989840625000000e+05
7;1000000;2.4974831966566917e+05;2.4974825000000000e+05;2.4974831966566914e+05;2.4974831250000000e+05;2.4974826562500000e+05;2.4974831966566911e+05;2.4974831250000000e+05
8;1000000;2.4966346934371701e+05;2.4966325000000000e+05;2.4966346934371706e+05;2.4966346875000000e+05;2.4966323437500000e+05;2.4966346934371733e+05;2.4966348437500000e+05
9;1000000;2.5014036489749985e+05;2.5014025000000000e+05;2.5014036489749973e+05;2.5014035937500000e+05;2.5014029687500000e+05;2.5014036489750008e+05;2.5014037500000000e+05
0;3000000;7.5015283166100085e+05;7.5015250000000000e+05;7.5015283166100131e+05;7.5015281250000000e+05;7.5015250000000000e+05;7.5015283166100411e+05;7.5015287500000000e+05
1;3000000;7.4972562410477281e+05;7.4972612500000000e+05;7.4972562410477281e+05;7.4972562500000000e+05;7.4972606250000000e+05;7.4972562410477304e+05;7.4972562500000000e+05
2;3000000;7.5008320634437539e+05;7.5008312500000000e+05;7.5008320634437550e+05;7.5008318750000000e+05;7.5008306250000000e+05;7.5008320634437585e+05;7.5008312500000000e+05
3;3000000;7.4940525968318922e+05;7.4940525000000000e+05;7.4940525968318933e+05;7.4940525000000000e+05;7.4940537500000000e+05;7.4940525968318980e+05;7.4940525000000000e+05
4;3000000;7.5023097489911772e+05;7.5023137500000000e+05;7.5023097489911760e+05;7.5023100000000000e+05;7.5023125000000000e+05;7.5023097489911772e+05;7.5023100000000000e+05
5;3000000;7.5023659822574281e+05;7.5023693750000000e+05;7.5023659822574281e+05;7.5023662500000000e+05;7.5023706250000000e+05;7.5023659822574258e+05;7.5023662500000000e+05
6;3000000;7.5024883998958592e+05;7.5024962500000000e+05;7.5024883998958569e+05;7.5024881250000000e+05;7.5024968750000000e+05;7.5024883998958569e+05;7.5024875000000000e+05
7;3000000;7.4986708509783272e+05;7.4986731250000000e+05;7.4986708509783330e+05;7.4986706250000000e+05;7.4986737500000000e+05;7.4986708509783307e+05;7.4986706250000000e+05
