Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
0;1000000;-2.3465157845828156e+02;-2.3465164184570312e+02;-2.3465157845828205e+02;-2.3465158081054688e+02;-2.3465158081054688e+02;-2.3465157845828173e+02;-2.3465161132812500e+02
1;1000000;-1.1656602623813571e+02;-1.1656586456298828e+02;-1.1656602623813565e+02;-1.1656602478027344e+02;-1.1656597900390625e+02;-1.1656602623813569e+02;-1.1656613159179688e+02
2;1000000;6.3284647029934376e+02;6.3284643554687500e+02;6.3284647029934365e+02;6.3284643554687500e+02;6.3284667968750000e+02;6.3284647029934490e+02;6.3284649658203125e+02
3;1000000;3.0553266276405854e+01;3.0553169250488281e+01;3.0553266276405449e+01;3.0553237915039062e+01;3.0553173065185547e+01;3.0553266276405566e+01;3.0553207397460938e+01
4;1000000;6.2753876087933072e+01;6.2753803253173828e+01;6.2753876087933079e+01;6.2753887176513672e+01;6.2753852844238281e+01;6.2753876087933079e+01;6.2753929138183594e+01
5;1000000;3.5005159672043021e+02;3.5005157470703125e+02;3.5005159672043038e+02;3.5005160522460938e+02;3.5005151367187500e+02;3.5005159672043050e+02;3.5005163574218750e+02
6;1000000;-1.8907935146342446e+01;-1.8907917022705078e+01;-1.8907935146342609e+01;-1.8907947540283203e+01;-1.8907894134521484e+01;-1.8907935146342581e+01;-1.8907958984375000e+01
7;1000000;-5.8505714697574316e+00;-5.8506565093994141e+00;-5.8505714697572806e+00;-5.8505702018737793e+00;-5.8505702018737793e+00;-5.8505714697573126e+00;-5.8506240844726562e+00
8;1000000;-5.5549034126161314e+02;-5.5549035644531250e+02;-5.5549034126161314e+02;-5.5549029541015625e+02;-5.5549041748046875e+02;-5.5549034126161325e+02;-5.5549029541015625e+02
9;1000000;3.5630643020007227e+01;3.5630874633789062e+01;3.5630643020007483e+01;3.5630641937255859e+01;3.5630954742431641e+01;3.5630643020007099e+01;3.5630630493164062e+01
0;3000000;-5.8393833164746297e+02;-5.8393884277343750e+02;-5.8393833164746286e+02;-5.8393835449218750e+02;-5.8393829345703125e+02;-5.8393833164746320e+02;-5.8393835449218750e+02
1;3000000;-1.4680660729444480e+02;-1.4680677795410156e+02;-1.4680660729444475e+02;-1.4680662536621094e+02;-1.4680673217773438e+02;-1.4680660729444395e+02;-1.4680657958984375e+02
2;3000000;3.5751277406518801e+02;3.5751232910156250e+02;3.5751277406518727e+02;3.5751275634765625e+02;3.5751263427734375e+02;3.5751277406518784e+02;3.5751266479492188e+02
3;3000000;-6.0341473840705578e+02;-6.0341577148437500e+02;-6.0341473840705544e+02;-6.0341479492187500e+02;-6.0341503906250000e+02;-6.0341473840705498e+02;-6.0341479492187500e+02
4;3000000;7.6561521442492847e+01;7.6561386108398438e+01;7.6561521442492463e+01;7.6561523437500000e+01;7.6561347961425781e+01;7.6561521442492847e+01;7.6561614990234375e+01
5;3000000;1.0313818800360542e+01;1.0313678741455078e+01;1.0313818800360711e+01;1.0313844680786133e+01;1.0313671112060547e+01;1.0313818800360082e+01;1.0313728332519531e+01
6;3000000;-6.3229596059511742e+01;-6.3229736328125000e+01;-6.3229596059512090e+01;-6.3229598999023438e+01;-6.3229598999023438e+01;-6.3229596059512119e+01;-6.3229583740234375e+01
7;3000000;-6.0533119194239305e+02;-6.0533093261718750e+02;-6.0533119194239327e+02;-6.0533117675781250e+02;-6.0533074951171875e+02;-6.0533119194239327e+02;-6.0533111572265625e+02
8;3000000;-1.5638415928812456e+03;-1.5638422851562500e+03;-1.5638415928812467e+03;-1.5638415527343750e+03;-1.5638411865234375e+03;-1.5638415928812497e+03;-1.5638415527343750e+03
9;3000000;-4.6512782532297155e+02;-4.6512722778320312e+02;-4.6512782532297217e+02;-4.6512783813476562e+02;-4.6512734985351562e+02;-4.6512782532297240e+02;-4.6512774658203125e+02
0;5000000;-5.2618484628318663e+02;-5.2618475341796875e+02;-5.2618484628318674e+02;-5.2618487548828125e+02;-5.2618463134765625e+02;-5.2618484628318606e+02;-5.2618469238281250e+02
1;5000000;-2.4796337479840045e+02;-2.4796339416503906e+02;-2.4796337479840102e+02;-2.4796339416503906e+02;-2.4796371459960938e+02;-2.4796337479840088e+02;-2.4796343994140625e+02
2;5000000;-4.2642558151903494e+01;-4.2642749786376953e+01;-4.2642558151903778e+01;-4.2642585754394531e+01;-4.2642974853515625e+01;-4.2642558151903529e+01;-4.2642456054687500e+01
3;5000000;-5.2387897317160616e+02;-5.2387884521484375e+02;-5.2387897317160684e+02;-5.2387902832031250e+02;-5.2387884521484375e+02;-5.2387897317160650e+02;-5.2387902832031250e+02
4;5000000;3.2485659551433292e+02;3.2485687255859375e+02;3.2485659551433264e+02;3.2485656738281250e+02;3.2485653686523438e+02;3.2485659551433309e+02;3.2485662841796875e+02
5;5000000;-8.2351640277107583e+02;-8.2351599121093750e+02;-8.2351640277107651e+02;-8.2351635742187500e+02;-8.2351599121093750e+02;-8.2351640277107663e+02;-8.2351641845703125e+02
6;5000000;8.3490047063507348e+01;8.3489776611328125e+01;8.3490047063505983e+01;8.3490058898925781e+01;8.3490074157714844e+01;8.3490047063507916e+01;8.3489990234375000e+01
7;5000000;-7.6738879328037694e+02;-7.6738861083984375e+02;-7.6738879328037785e+02;-7.6738879394531250e+02;-7.6738873291015625e+02;-7.6738879328037569e+02;-7.6738879394531250e+02
8;5000000;-2.0659656054888023e+03;-2.0659685058593750e+03;-2.0659656054888005e+03;-2.0659655761718750e+03;-2.0659677734375000e+03;-2.0659656054888051e+03;-2.0659655761718750e+03
9;5000000;-5.9047859449458440e+02;-5.9047930908203125e+02;-5.9047859449458258e+02;-5.9047857666015625e+02;-5.9047912597656250e+02;-5.9047859449458338e+02;-5.9047839355468750e+02
0;7000000;-4.1449844997123927e+02;-4.1449816894531250e+02;-4.1449844997123989e+02;-4.1449844360351562e+02;-4.1449835205078125e+02;-4.1449844997123972e+02;-4.1449819946289062e+02
1;7000000;-8.8941545135572972e+02;-8.8941522216796875e+02;-8.8941545135573017e+02;-8.8941546630859375e+02;-8.8941534423828125e+02;-8.8941545135573062e+02;-8.8941558837890625e+02
2;7000000;4.2877445595363731e+01;4.2877578735351562e+01;4.2877445595363305e+01;4.2877395629882812e+01;4.2877407073974609e+01;4.2877445595363724e+01;4.2877349853515625e+01
3;7000000;-8.1993559714745174e+02;-8.1993511962890625e+02;-8.1993559714745163e+02;-8.1993566894531250e+02;-8.1993499755859375e+02;-8.1993559714745254e+02;-8.1993579101562500e+02
4;7000000;-1.9237205275838710e+02;-1.9237179565429688e+02;-1.9237205275838676e+02;-1.9237211608886719e+02;-1.9237246704101562e+02;-1.9237205275838807e+02;-1.9237185668945312e+02
5;7000000;-4.4684169254663686e+02;-4.4684133911132812e+02;-4.4684169254663777e+02;-4.4684164428710938e+02;-4.4684155273437500e+02;-4.4684169254663641e+02;-4.4684149169921875e+02
6;7000000;-7.5869094116868632e+02;-7.5869079589843750e+02;-7.5869094116868496e+02;-7.5869091796875000e+02;-7.5869085693359375e+02;-7.5869094116868450e+02;-7.5869110107421875e+02
7;7000000;-6.7549175831983757e+02;-6.7549176025390625e+02;-6.7549175831983621e+02;-6.7549176025390625e+02;-6.7549145507812500e+02;-6.7549175831983871e+02;-6.7549157714843750e+02
8;7000000;-2.2783931196592744e+03;-2.2783959960937500e+03;-2.2783931196592753e+03;-2.2783930664062500e+03;-2.2783952636718750e+03;-2.2783931196592848e+03;-2.2783930664062500e+03
9;7000000;-1.4967286359502809e+03;-1.4967280273437500e+03;-1.4967286359502828e+03;-1.4967286376953125e+03;-1.4967281494140625e+03;-1.4967286359502816e+03;-1.4967283935546875e+03
0;9000000;-5.2580007581678757e+01;-5.2579444885253906e+01;-5.2580007581678430e+01;-5.2580001831054688e+01;-5.2579933166503906e+01;-5.2580007581679183e+01;-5.2580078125000000e+01
1;9000000;-4.3269715600619924e+02;-4.3269741821289062e+02;-4.3269715600619895e+02;-4.3269717407226562e+02;-4.3269763183593750e+02;-4.3269715600619918e+02;-4.3269750976562500e+02
2;9000000;-3.5066087725727459e+02;-3.5066082763671875e+02;-3.5066087725727562e+02;-3.5066091918945312e+02;-3.5066070556640625e+02;-3.5066087725727499e+02;-3.5066091918945312e+02
3;9000000;-1.2811606037706742e+03;-1.2811600341796875e+03;-1.2811606037706736e+03;-1.2811606445312500e+03;-1.2811606445312500e+03;-1.2811606037706747e+03;-1.2811608886718750e+03
4;9000000;1.3160798673308864e+02;1.3160818481445312e+02;1.3160798673308892e+02;1.3160791015625000e+02;1.3160777282714844e+02;1.3160798673308864e+02;1.3160791015625000e+02
5;9000000;-2.9650921761338464e+02;-2.9650958251953125e+02;-2.9650921761338361e+02;-2.9650924682617188e+02;-2.9650964355468750e+02;-2.9650921761338265e+02;-2.9650906372070312e+02
6;9000000;-9.7417191006577332e+02;-9.7417102050781250e+02;-9.7417191006577275e+02;-9.7417187500000000e+02;-9.7417187500000000e+02;-9.7417191006577298e+02;-9.7417181396484375e+02
