Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
50;+0.0000000000000000e+00;+1.1237566739836766e-07;+0.0000000000000000e+00;+8.4102796722476471e-08;+1.1237566739836766e-07;+3.5636603565011712e-16;+1.7146137194365418e-07
100;+0.0000000000000000e+00;+2.0601973765022287e-07;+0.0000000000000000e+00;+1.1424075473108979e-07;+2.0601973765022287e-07;+5.2130345096864613e-16;+2.2877406518446112e-07
150;+0.0000000000000000e+00;+2.6067116043894909e-07;+0.0000000000000000e+00;+1.4381109958903542e-07;+2.6067116043894909e-07;+7.8450704163001357e-16;+2.9777211414410391e-07
200;+0.0000000000000000e+00;+3.2585238744218333e-07;+0.0000000000000000e+00;+1.7092817687451407e-07;+3.2585238744218333e-07;+9.3591509710380262e-16;+3.5031571184764179e-07
250;+0.0000000000000000e+00;+4.0895514834524497e-07;+0.0000000000000000e+00;+1.9482267970795487e-07;+4.0895514834524497e-07;+1.1282563586005164e-15;+4.3657966146642319e-07
300;+0.0000000000000000e+00;+4.8330638425685858e-07;+0.0000000000000000e+00;+2.1997395052225663e-07;+4.8330638425685858e-07;+1.3661748177440627e-15;+4.9139310280835132e-07
350;+0.0000000000000000e+00;+5.8030994639073244e-07;+0.0000000000000000e+00;+2.3911385003079395e-07;+5.8030994639073244e-07;+1.5186175458383020e-15;+5.2309133503222212e-07
400;+0.0000000000000000e+00;+7.1548417491568820e-07;+0.0000000000000000e+00;+2.6062306071763876e-07;+7.1548417491568820e-07;+1.7126262119013276e-15;+6.2091594440808055e-07
450;+0.0000000000000000e+00;+8.2713498101142514e-07;+0.0000000000000000e+00;+2.8584096914931618e-07;+8.2713498101142514e-07;+1.8968607235269609e-15;+7.2728679707096767e-07
500;+0.0000000000000000e+00;+9.8055329480722998e-07;+0.0000000000000000e+00;+3.0604711080408442e-07;+9.8055329480722998e-07;+2.0251085228041616e-15;+8.0124802837767791e-07
550;+0.0000000000000000e+00;+1.0078359400076648e-06;+0.0000000000000000e+00;+3.1112696700422078e-07;+1.0078359400076648e-06;+2.0414953469852184e-15;+8.3078173647058406e-07
600;+0.0000000000000000e+00;+1.0783495090736525e-06;+0.0000000000000000e+00;+3.1726410963942882e-07;+1.0783495090736525e-06;+2.1525604247323363e-15;+8.6583175610390419e-07
650;+0.0000000000000000e+00;+1.1430598587724536e-06;+0.0000000000000000e+00;+3.4030510843212984e-07;+1.1430598587724536e-06;+2.3526263265212311e-15;+9.6350153811198732e-07
700;+0.0000000000000000e+00;+1.2218982913760542e-06;+0.0000000000000000e+00;+3.5326746325107279e-07;+1.2218982913760542e-06;+2.4268733078027677e-15;+1.0084465213010783e-06
750;+0.0000000000000000e+00;+1.2689126481089388e-06;+0.0000000000000000e+00;+3.7411084379491347e-07;+1.2689126481089388e-06;+2.5809321920397043e-15;+1.0469363578560712e-06
800;+0.0000000000000000e+00;+1.3195239826477714e-06;+0.0000000000000000e+00;+3.9111696539426242e-07;+1.3195239826477714e-06;+2.7982051750560358e-15;+1.0937810095012019e-06
850;+0.0000000000000000e+00;+1.3583069021911968e-06;+0.0000000000000000e+00;+4.1000431113183857e-07;+1.3583069021911968e-06;+2.9635434645428510e-15;+1.1493368985156588e-06
900;+0.0000000000000000e+00;+1.4212014907944216e-06;+0.0000000000000000e+00;+4.2993533288382955e-07;+1.4212014907944216e-06;+3.1939609938446593e-15;+1.2014920960129062e-06
950;+0.0000000000000000e+00;+1.4801851428912065e-06;+0.0000000000000000e+00;+4.5476382824241135e-07;+1.4801851428912065e-06;+3.4120483520321982e-15;+1.2552361125421595e-06
1000;+0.0000000000000000e+00;+1.5439954268441728e-06;+0.0000000000000000e+00;+4.7585306014734689e-07;+1.5439954268441728e-06;+3.6326127858513000e-15;+1.2937257161324871e-06
