Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
+100;+5.7727999985218048e-02;+5.4336000233888626e-02;+5.7920001447200775e-02;+5.7087998837232590e-02;+5.4336000233888626e-02;+1.7503999173641205e-02;+1.8079999834299088e-02
+200;+6.9119997322559357e-02;+6.5183997154235840e-02;+6.8832002580165863e-02;+6.7135997116565704e-02;+6.5119996666908264e-02;+2.5407999753952026e-02;+2.6399999856948853e-02
+300;+8.0288000404834747e-02;+7.5007997453212738e-02;+7.9967997968196869e-02;+7.8175999224185944e-02;+7.5039997696876526e-02;+3.2992001622915268e-02;+3.5392001271247864e-02
+400;+9.1679997742176056e-02;+8.5791997611522675e-02;+9.0911999344825745e-02;+8.8735997676849365e-02;+8.5759997367858887e-02;+4.1087999939918518e-02;+4.3487999588251114e-02
+500;+1.0323199629783630e-01;+9.6128001809120178e-02;+1.0326399654150009e-01;+9.9296003580093384e-02;+9.6096001565456390e-02;+4.9663998186588287e-02;+5.3056001663208008e-02
+600;+1.1459200084209442e-01;+1.0633599758148193e-01;+1.1465600132942200e-01;+1.1023999750614166e-01;+1.0649599879980087e-01;+5.7312000542879105e-02;+6.1248000711202621e-02
+700;+1.2598399817943573e-01;+1.1705599725246429e-01;+1.2588800489902496e-01;+1.2028799951076508e-01;+1.1676800251007080e-01;+6.5439999103546143e-02;+7.0399999618530273e-02
+800;+1.3654400408267975e-01;+1.2815999984741211e-01;+1.3648000359535217e-01;+1.3107199966907501e-01;+1.2828800082206726e-01;+7.3023997247219086e-02;+7.9007998108863831e-02
+900;+1.5119999647140503e-01;+1.4127999544143677e-01;+1.5113599598407745e-01;+1.4496000111103058e-01;+1.4144000411033630e-01;+8.1632003188133240e-02;+8.8320001959800720e-02
+1000;+1.6307200491428375e-01;+1.5155200660228729e-01;+1.6326400637626648e-01;+1.5542399883270264e-01;+1.5100799500942230e-01;+8.9408002793788910e-02;+9.7152002155780792e-02
+1100;+1.7375999689102173e-01;+1.6223999857902527e-01;+1.7318400740623474e-01;+1.6572800278663635e-01;+1.6217599809169769e-01;+9.7535997629165649e-02;+1.0537599772214890e-01
+1200;+1.8499200046062469e-01;+1.7273600399494171e-01;+1.8432000279426575e-01;+1.7599999904632568e-01;+1.7235200107097626e-01;+1.0556799918413162e-01;+1.1462400108575821e-01
+1300;+1.9609600305557251e-01;+1.8214400112628937e-01;+1.9616000354290009e-01;+1.8630400300025940e-01;+1.8102400004863739e-01;+1.1331199854612350e-01;+1.2307199835777283e-01
+1400;+2.0815999805927277e-01;+1.9219200313091278e-01;+2.0822399854660034e-01;+1.9692799448966980e-01;+1.9222399592399597e-01;+1.2172800302505493e-01;+1.3180799782276154e-01
+1500;+2.1974399685859680e-01;+2.0262399315834045e-01;+2.1935999393463135e-01;+2.0681600272655487e-01;+2.0310400426387787e-01;+1.2931199371814728e-01;+1.4041599631309509e-01
+1600;+2.2908799350261688e-01;+2.1369600296020508e-01;+2.2944000363349915e-01;+2.1795199811458588e-01;+2.1324799954891205e-01;+1.3654400408267975e-01;+1.4873600006103516e-01
+1700;+2.4432000517845154e-01;+2.2640000283718109e-01;+2.4492800235748291e-01;+2.3168000578880310e-01;+2.2627200186252594e-01;+1.4528000354766846e-01;+1.5868799388408661e-01
+1800;+2.5612801313400269e-01;+2.3641599714756012e-01;+2.5628799200057983e-01;+2.4086399376392365e-01;+2.3615999519824982e-01;+1.5372799336910248e-01;+1.6716800630092621e-01
+1900;+2.6688000559806824e-01;+2.4707199633121490e-01;+2.6659199595451355e-01;+2.5164800882339478e-01;+2.4675199389457703e-01;+1.6166399419307709e-01;+1.7516799271106720e-01
+2000;+2.7772799134254456e-01;+2.5670400261878967e-01;+2.7788800001144409e-01;+2.6134398579597473e-01;+2.5612801313400269e-01;+1.7017599940299988e-01;+1.8384000658988953e-01
+2100;+2.9183998703956604e-01;+2.6652801036834717e-01;+2.9065600037574768e-01;+2.7270400524139404e-01;+2.6614400744438171e-01;+1.7875200510025024e-01;+1.9264000654220581e-01
+2200;+3.0339199304580688e-01;+2.7734398841857910e-01;+3.0275198817253113e-01;+2.8224000334739685e-01;+2.7680000662803650e-01;+1.8719999492168427e-01;+2.0070399343967438e-01
+2300;+3.1577599048614502e-01;+2.8764799237251282e-01;+3.1430399417877197e-01;+2.9350399971008301e-01;+2.8751999139785767e-01;+1.9702400267124176e-01;+2.1104000508785248e-01
+2400;+3.2512000203132629e-01;+2.9865598678588867e-01;+3.2969599962234497e-01;+3.0489599704742432e-01;+2.9888001084327698e-01;+2.0579199492931366e-01;+2.1865600347518921e-01
+2500;+3.5049599409103394e-01;+3.1200000643730164e-01;+3.4169599413871765e-01;+3.1811198592185974e-01;+3.1161600351333618e-01;+2.1539199352264404e-01;+2.2819200158119202e-01
+2600;+3.7711998820304871e-01;+3.2204800844192505e-01;+3.8182398676872253e-01;+3.2902398705482483e-01;+3.2153600454330444e-01;+2.3299199342727661e-01;+2.3721599578857422e-01
+2700;+4.0822398662567139e-01;+3.3254399895668030e-01;+4.0710398554801941e-01;+3.3871999382972717e-01;+3.3222401142120361e-01;+2.4864000082015991e-01;+2.4604800343513489e-01
+2800;+4.5075199007987976e-01;+3.4300801157951355e-01;+4.5865601301193237e-01;+3.4806400537490845e-01;+3.4214401245117188e-01;+2.6118400692939758e-01;+2.5462400913238525e-01
+2900;+4.7052800655364990e-01;+3.5318401455879211e-01;+4.7020798921585083e-01;+3.5939198732376099e-01;+3.5276800394058228e-01;+2.7881601452827454e-01;+2.6374399662017822e-01
+3000;+4.9497601389884949e-01;+3.6348798871040344e-01;+5.1225602626800537e-01;+3.6947199702262878e-01;+3.6272001266479492e-01;+2.9539200663566589e-01;+2.7363198995590210e-01
+3100;+5.3631997108459473e-01;+3.7331199645996094e-01;+5.3638398647308350e-01;+3.8176000118255615e-01;+3.7391999363899231e-01;+3.1100800633430481e-01;+2.8185600042343140e-01
+3200;+5.9033602476119995e-01;+3.8784000277519226e-01;+5.9347200393676758e-01;+3.9452800154685974e-01;+3.8636800646781921e-01;+3.2547199726104736e-01;+2.9078400135040283e-01
