Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
2500;+0.0000000000000000e+00;+4.3326060956820102e-06;+0.0000000000000000e+00;+1.0754828280246873e-06;+4.3326060956820102e-06;+1.1307005624265917e-14;+4.2768892535095110e-06
2550;+0.0000000000000000e+00;+4.4499129760583614e-06;+0.0000000000000000e+00;+1.1029941828044324e-06;+4.4499129760583614e-06;+1.1682067527643965e-14;+4.4052656973343302e-06
2600;+0.0000000000000000e+00;+4.5502565325031127e-06;+0.0000000000000000e+00;+1.1169408180248260e-06;+4.5502565325031127e-06;+1.2041352535759260e-14;+4.5423624993716208e-06
2650;+0.0000000000000000e+00;+4.6417448353066743e-06;+0.0000000000000000e+00;+1.1367603928599326e-06;+4.6417448353066743e-06;+1.2309578062354340e-14;+4.7411237095187862e-06
2700;+0.0000000000000000e+00;+4.7520749540594069e-06;+0.0000000000000000e+00;+1.1519836295790677e-06;+4.7520749540594069e-06;+1.2761499182014407e-14;+4.9116119663592141e-06
2750;+0.0000000000000000e+00;+4.8360654627824293e-06;+0.0000000000000000e+00;+1.1778964000688018e-06;+4.8360654627824293e-06;+1.3200937348589359e-14;+5.0546555127136249e-06
2800;+0.0000000000000000e+00;+4.9970661420558341e-06;+0.0000000000000000e+00;+1.2045416673696093e-06;+4.9970661420558341e-06;+1.3610625081852429e-14;+5.1562466381842092e-06
2850;+0.0000000000000000e+00;+5.0823667753288801e-06;+0.0000000000000000e+00;+1.2277447787777324e-06;+5.0823667753288801e-06;+1.3957916932697058e-14;+5.2861641986563390e-06
2900;+0.0000000000000000e+00;+5.1512328709247253e-06;+0.0000000000000000e+00;+1.2396261721491788e-06;+5.1512328709247253e-06;+1.4170944902933136e-14;+5.3638210220241731e-06
2950;+0.0000000000000000e+00;+5.2854522803085726e-06;+0.0000000000000000e+00;+1.2617317421264710e-06;+5.2854522803085726e-06;+1.4385544963046180e-14;+5.5077083968482647e-06
3000;+0.0000000000000000e+00;+5.4548946391182710e-06;+0.0000000000000000e+00;+1.2856317068419474e-06;+5.4548946391182710e-06;+1.4572824772960149e-14;+5.6846912322294743e-06
3050;+0.0000000000000000e+00;+5.6135508473977489e-06;+0.0000000000000000e+00;+1.3163724868367336e-06;+5.6135508473977489e-06;+1.4977323488627259e-14;+5.8670196895118845e-06
3100;+0.0000000000000000e+00;+5.7487694618254505e-06;+0.0000000000000000e+00;+1.3281659101340415e-06;+5.7487694618254505e-06;+1.5299670353135229e-14;+6.0055818832587713e-06
3150;+0.0000000000000000e+00;+5.8728884481547493e-06;+0.0000000000000000e+00;+1.3571228576221653e-06;+5.8728884481547493e-06;+1.5488388123134560e-14;+6.1204516200458596e-06
3200;+0.0000000000000000e+00;+6.0446983938583937e-06;+0.0000000000000000e+00;+1.3835474923106083e-06;+6.0446983938583937e-06;+1.5889474457786380e-14;+6.2689655397087498e-06
3250;+0.0000000000000000e+00;+6.1105938799860589e-06;+0.0000000000000000e+00;+1.4069114212481382e-06;+6.1105938799860589e-06;+1.6175466584271536e-14;+6.3108606861901740e-06
3300;+0.0000000000000000e+00;+6.2111585898705326e-06;+0.0000000000000000e+00;+1.4344878304510830e-06;+6.2111585898705326e-06;+1.6553182899040194e-14;+6.4688186065641466e-06
3350;+0.0000000000000000e+00;+6.3290895348689902e-06;+0.0000000000000000e+00;+1.4553304962435888e-06;+6.3290895348689902e-06;+1.6948997487237619e-14;+6.5589062411360344e-06
3400;+0.0000000000000000e+00;+6.4470349362557734e-06;+0.0000000000000000e+00;+1.4849845745920404e-06;+6.4470349362557734e-06;+1.7336725849967931e-14;+6.6984042031487129e-06
3450;+0.0000000000000000e+00;+6.5831882743890307e-06;+0.0000000000000000e+00;+1.5156648235858405e-06;+6.5831882743890307e-06;+1.7568873590310278e-14;+6.8526076101490351e-06
3500;+0.0000000000000000e+00;+6.8060080123686681e-06;+0.0000000000000000e+00;+1.5441876255734304e-06;+6.8060080123686681e-06;+1.7883291932119266e-14;+6.9898912850753345e-06
3550;+0.0000000000000000e+00;+6.9360003404619863e-06;+0.0000000000000000e+00;+1.5644146282097335e-06;+6.9360003404619863e-06;+1.8133012965624955e-14;+7.1405833885276983e-06
3600;+0.0000000000000000e+00;+7.0547404035948260e-06;+0.0000000000000000e+00;+1.5849763542331558e-06;+7.0547404035948260e-06;+1.8300412586658071e-14;+7.3214985108378359e-06
3650;+0.0000000000000000e+00;+7.1761110153731312e-06;+0.0000000000000000e+00;+1.6014289528120473e-06;+7.1761110153731312e-06;+1.8433392709976514e-14;+7.4478599161397572e-06
3700;+0.0000000000000000e+00;+7.3070369053145940e-06;+0.0000000000000000e+00;+1.6287462549763258e-06;+7.3070369053145940e-06;+1.8707889378010671e-14;+7.6065273501389679e-06
3750;+0.0000000000000000e+00;+7.4734308085418345e-06;+0.0000000000000000e+00;+1.6730849239298740e-06;+7.4734308085418345e-06;+1.9106942779121248e-14;+7.7532467587245648e-06
3800;+0.0000000000000000e+00;+7.5993645718613198e-06;+0.0000000000000000e+00;+1.6934771278306417e-06;+7.5993645718613198e-06;+1.9510175118741045e-14;+7.9222425985799455e-06
3850;+0.0000000000000000e+00;+7.7445623434705690e-06;+0.0000000000000000e+00;+1.7065600409470828e-06;+7.7445623434705690e-06;+1.9681664644770032e-14;+8.0518806404085486e-06
3900;+0.0000000000000000e+00;+7.9445299244024538e-06;+0.0000000000000000e+00;+1.7308895268186437e-06;+7.9445299244024538e-06;+1.9870896286634419e-14;+8.1725206670971248e-06
3950;+0.0000000000000000e+00;+8.1493301258703128e-06;+0.0000000000000000e+00;+1.7602615666774820e-06;+8.1493301258703128e-06;+2.0110160758136775e-14;+8.3668307726540385e-06
4000;+0.0000000000000000e+00;+8.3458994951120823e-06;+0.0000000000000000e+00;+1.7862417983194322e-06;+8.3458994951120823e-06;+2.0464121939626580e-14;+8.4643000546121202e-06
4050;+0.0000000000000000e+00;+8.4808551785297804e-06;+0.0000000000000000e+00;+1.7992575487703854e-06;+8.4808551785297804e-06;+2.0719417001173162e-14;+8.6051507859067520e-06
4100;+0.0000000000000000e+00;+8.6799092104659501e-06;+0.0000000000000000e+00;+1.8322934697155166e-06;+8.6799092104659501e-06;+2.1131592386623615e-14;+8.7793040421842449e-06
4150;+0.0000000000000000e+00;+8.7565075437200871e-06;+0.0000000000000000e+00;+1.8619030544893966e-06;+8.7565075437200871e-06;+2.1585025849363102e-14;+8.8832170218910936e-06
4200;+0.0000000000000000e+00;+8.8953279932855132e-06;+0.0000000000000000e+00;+1.8983020622964054e-06;+8.8953279932855132e-06;+2.1975939396188124e-14;+9.0528510983064917e-06
4250;+0.0000000000000000e+00;+9.1064332139090161e-06;+0.0000000000000000e+00;+1.9201868232883021e-06;+9.1064332139090161e-06;+2.2384892420972121e-14;+9.2206664579137582e-06
4300;+0.0000000000000000e+00;+9.2153500536723102e-06;+0.0000000000000000e+00;+1.9344926169987575e-06;+9.2153500536723102e-06;+2.2729949938221138e-14;+9.4047414116407232e-06
4350;+0.0000000000000000e+00;+9.3499700738129327e-06;+0.0000000000000000e+00;+1.9512104167209959e-06;+9.3499700738129327e-06;+2.3155109842368289e-14;+9.5930069208309681e-06
4400;+0.0000000000000000e+00;+9.4533936088901347e-06;+0.0000000000000000e+00;+1.9676809811133726e-06;+9.4533936088901347e-06;+2.3591665441249834e-14;+9.6966681968463783e-06
4450;+0.0000000000000000e+00;+9.6462760077137296e-06;+0.0000000000000000e+00;+1.9835472372430513e-06;+9.6462760077137296e-06;+2.4114173552554444e-14;+9.8487794806823551e-06
4500;+0.0000000000000000e+00;+9.7657951124481692e-06;+0.0000000000000000e+00;+1.9962326398325783e-06;+9.7657951124481692e-06;+2.4574518233367602e-14;+1.0076148059733159e-05
4550;+0.0000000000000000e+00;+9.9294288936667511e-06;+0.0000000000000000e+00;+2.0129645848631315e-06;+9.9294288936667511e-06;+2.5135191823504838e-14;+1.0384674583278778e-05
4600;+0.0000000000000000e+00;+1.0129180925348509e-05;+0.0000000000000000e+00;+2.0346583727686320e-06;+1.0129180925348509e-05;+2.5678462208640324e-14;+1.0597696904619357e-05
4650;+0.0000000000000000e+00;+1.0292827097516545e-05;+0.0000000000000000e+00;+2.0482106282128650e-06;+1.0292827097516545e-05;+2.6086222963831615e-14;+1.0775212246388611e-05
4700;+0.0000000000000000e+00;+1.0463150111970663e-05;+0.0000000000000000e+00;+2.0830075763378460e-06;+1.0463150111970663e-05;+2.6757699610529373e-14;+1.0931470681650315e-05
4750;+0.0000000000000000e+00;+1.0640616452270433e-05;+0.0000000000000000e+00;+2.1020416298043913e-06;+1.0640616452270433e-05;+2.7215534796250549e-14;+1.1129457425625635e-05
4800;+0.0000000000000000e+00;+1.0797024771934929e-05;+0.0000000000000000e+00;+2.1234830149794747e-06;+1.0797024771934929e-05;+2.7610311529071073e-14;+1.1277743208882277e-05
4850;+0.0000000000000000e+00;+1.0925754674809381e-05;+0.0000000000000000e+00;+2.1446622376070716e-06;+1.0925754674809381e-05;+2.8134449040002095e-14;+1.1383754519176653e-05
4900;+0.0000000000000000e+00;+1.1041615872183311e-05;+0.0000000000000000e+00;+2.1659291859251317e-06;+1.1041615872183311e-05;+2.8577907458605942e-14;+1.1549242984955913e-05
4950;+0.0000000000000000e+00;+1.1210786445452863e-05;+0.0000000000000000e+00;+2.1796342823133648e-06;+1.1210786445452863e-05;+2.8783599625736429e-14;+1.1690672160424350e-05
5000;+0.0000000000000000e+00;+1.1404984600774220e-05;+0.0000000000000000e+00;+2.2061791341642516e-06;+1.1404984600774220e-05;+2.9070575518435903e-14;+1.1909768150412026e-05
5050;+0.0000000000000000e+00;+1.1588689140405262e-05;+0.0000000000000000e+00;+2.2453894455606607e-06;+1.1588689140405262e-05;+2.9354183887007022e-14;+1.2132779863407835e-05
5100;+0.0000000000000000e+00;+1.1718166983221830e-05;+0.0000000000000000e+00;+2.2777268963575859e-06;+1.1718166983221830e-05;+2.9633415237031522e-14;+1.2300589614997562e-05
5150;+0.0000000000000000e+00;+1.1878789484800839e-05;+0.0000000000000000e+00;+2.3029240005171702e-06;+1.1878789484800839e-05;+2.9929292984972603e-14;+1.2476070167348205e-05
5200;+0.0000000000000000e+00;+1.2163965765046060e-05;+0.0000000000000000e+00;+2.3313555236543850e-06;+1.2163965765046060e-05;+3.0363902692416261e-14;+1.2666068750763272e-05
5250;+0.0000000000000000e+00;+1.2328194595363155e-05;+0.0000000000000000e+00;+2.3458518450917591e-06;+1.2328194595363155e-05;+3.0630338386554497e-14;+1.2767402654639103e-05
5300;+0.0000000000000000e+00;+1.2449116648671017e-05;+0.0000000000000000e+00;+2.3696703240237816e-06;+1.2449116648671017e-05;+3.1115850568444024e-14;+1.2977028608253866e-05
5350;+0.0000000000000000e+00;+1.2652010912543432e-05;+0.0000000000000000e+00;+2.4013547631563355e-06;+1.2652010912543432e-05;+3.1433143248638090e-14;+1.2995711587342588e-05
5400;+0.0000000000000000e+00;+1.2799390606418438e-05;+0.0000000000000000e+00;+2.4285692350433713e-06;+1.2799390606418438e-05;+3.1803148431797963e-14;+1.3137157277301830e-05
5450;+0.0000000000000000e+00;+1.3007683672980739e-05;+0.0000000000000000e+00;+2.4550406080673850e-06;+1.3007683672980739e-05;+3.2193718850338166e-14;+1.3326579743728827e-05
5500;+0.0000000000000000e+00;+1.3147395904917825e-05;+0.0000000000000000e+00;+2.4869867374055925e-06;+1.3147395904917825e-05;+3.2661510919025513e-14;+1.3588614173733373e-05
5550;+0.0000000000000000e+00;+1.3290523311161541e-05;+0.0000000000000000e+00;+2.5090503964326550e-06;+1.3290523311161541e-05;+3.3065952328006927e-14;+1.3820531673855881e-05
5600;+0.0000000000000000e+00;+1.3452393813555804e-05;+0.0000000000000000e+00;+2.5417243439485829e-06;+1.3452393813555804e-05;+3.3398633072637260e-14;+1.4080053184380063e-05
5650;+0.0000000000000000e+00;+1.3651832614480100e-05;+0.0000000000000000e+00;+2.5579425612826323e-06;+1.3651832614480100e-05;+3.3758589319544330e-14;+1.4271577547907146e-05
5700;+0.0000000000000000e+00;+1.3852404573472531e-05;+0.0000000000000000e+00;+2.5742380291366354e-06;+1.3852404573472531e-05;+3.4054481630504032e-14;+1.4411884902903791e-05
5750;+0.0000000000000000e+00;+1.4025370863156696e-05;+0.0000000000000000e+00;+2.6023057912317131e-06;+1.4025370863156696e-05;+3.4441494424436019e-14;+1.4557571791172768e-05
5800;+0.0000000000000000e+00;+1.4158536006588089e-05;+0.0000000000000000e+00;+2.6202404334964925e-06;+1.4158536006588089e-05;+3.4859923724108498e-14;+1.4712963803674784e-05
5850;+0.0000000000000000e+00;+1.4303913988132169e-05;+0.0000000000000000e+00;+2.6378569966360659e-06;+1.4303913988132169e-05;+3.5205790444098072e-14;+1.4816557826856132e-05
5900;+0.0000000000000000e+00;+1.4456419565088510e-05;+0.0000000000000000e+00;+2.6707243824306026e-06;+1.4456419565088510e-05;+3.5620811000747130e-14;+1.4989943269659862e-05
5950;+0.0000000000000000e+00;+1.4622824626741122e-05;+0.0000000000000000e+00;+2.6853318573327457e-06;+1.4622824626741122e-05;+3.5960452565527182e-14;+1.5146165691218406e-05
6000;+0.0000000000000000e+00;+1.4757225944540656e-05;+0.0000000000000000e+00;+2.6943472218336920e-06;+1.4757225944540656e-05;+3.6249278381623751e-14;+1.5326331608309848e-05
6050;+0.0000000000000000e+00;+1.4880597672879861e-05;+0.0000000000000000e+00;+2.7076646236755783e-06;+1.4880597672879861e-05;+3.6696068499036456e-14;+1.5554653022038706e-05
6100;+0.0000000000000000e+00;+1.5036986553172639e-05;+0.0000000000000000e+00;+2.7282729097799836e-06;+1.5036986553172639e-05;+3.7062316036716977e-14;+1.5711231332599153e-05
6150;+0.0000000000000000e+00;+1.5235523339008027e-05;+0.0000000000000000e+00;+2.7502616474816069e-06;+1.5235523339008027e-05;+3.7560808944702730e-14;+1.5818406999860677e-05
6200;+0.0000000000000000e+00;+1.5345774174648277e-05;+0.0000000000000000e+00;+2.7723319812090151e-06;+1.5345774174648277e-05;+3.8203239824292070e-14;+1.6034692862030759e-05
6250;+0.0000000000000000e+00;+1.5467354117822365e-05;+0.0000000000000000e+00;+2.7972190554753412e-06;+1.5467354117822365e-05;+3.8699782277446921e-14;+1.6217194051570698e-05
6300;+0.0000000000000000e+00;+1.5603877521326385e-05;+0.0000000000000000e+00;+2.8081441695335341e-06;+1.5603877521326385e-05;+3.9044442744787233e-14;+1.6431633113552021e-05
6350;+0.0000000000000000e+00;+1.5704294885250584e-05;+0.0000000000000000e+00;+2.8091803408123897e-06;+1.5704294885250584e-05;+3.9434030027499763e-14;+1.6569407226935319e-05
6400;+0.0000000000000000e+00;+1.5898948599731716e-05;+0.0000000000000000e+00;+2.8245484856171709e-06;+1.5898948599731716e-05;+3.9793205703967390e-14;+1.6689665158057064e-05
6450;+0.0000000000000000e+00;+1.6122532095816443e-05;+0.0000000000000000e+00;+2.8351706389915655e-06;+1.6122532095816443e-05;+4.0076835687593758e-14;+1.6846761369807649e-05
6500;+0.0000000000000000e+00;+1.6359716116576361e-05;+0.0000000000000000e+00;+2.8498273339113941e-06;+1.6359716116576361e-05;+4.0409095931693046e-14;+1.6990796067968542e-05
6550;+0.0000000000000000e+00;+1.6549970584185122e-05;+0.0000000000000000e+00;+2.8692483353889614e-06;+1.6549970584185122e-05;+4.0977409491495065e-14;+1.7122141666002960e-05
6600;+0.0000000000000000e+00;+1.6826470310506507e-05;+0.0000000000000000e+00;+2.8919119569588023e-06;+1.6826470310506507e-05;+4.1396923138282985e-14;+1.7321727953368377e-05
6650;+0.0000000000000000e+00;+1.6996563513902090e-05;+0.0000000000000000e+00;+2.9077537541963114e-06;+1.6996563513902090e-05;+4.1819702222414172e-14;+1.7500007701138747e-05
6700;+0.0000000000000000e+00;+1.7239744747919681e-05;+0.0000000000000000e+00;+2.9373688699596693e-06;+1.7239744747919681e-05;+4.2296837038058994e-14;+1.7668614422689079e-05
6750;+0.0000000000000000e+00;+1.7407575024590238e-05;+0.0000000000000000e+00;+2.9481582158174873e-06;+1.7407575024590238e-05;+4.2732409964873822e-14;+1.7726298888483932e-05
6800;+0.0000000000000000e+00;+1.7568142459601121e-05;+0.0000000000000000e+00;+2.9599980995949640e-06;+1.7568142459601121e-05;+4.3060123637927074e-14;+1.7826418593868499e-05
6850;+0.0000000000000000e+00;+1.7686875500592714e-05;+0.0000000000000000e+00;+2.9713235290646976e-06;+1.7686875500592714e-05;+4.3352487163977758e-14;+1.7951896987938273e-05
6900;+0.0000000000000000e+00;+1.7829998293374586e-05;+0.0000000000000000e+00;+2.9752788970768383e-06;+1.7829998293374586e-05;+4.3794783465588640e-14;+1.8103412294337938e-05
6950;+0.0000000000000000e+00;+1.7972692017969607e-05;+0.0000000000000000e+00;+2.9916460540227054e-06;+1.7972692017969607e-05;+4.4218998684114317e-14;+1.8355614031121406e-05
7000;+0.0000000000000000e+00;+1.8149866196139777e-05;+0.0000000000000000e+00;+3.0047459455733671e-06;+1.8149866196139777e-05;+4.4571093488986001e-14;+1.8631892208358326e-05
7050;+0.0000000000000000e+00;+1.8275109403186058e-05;+0.0000000000000000e+00;+3.0171624358844666e-06;+1.8275109403186058e-05;+4.5104994577495346e-14;+1.8924393186689645e-05
7100;+0.0000000000000000e+00;+1.8361809484057156e-05;+0.0000000000000000e+00;+3.0319578670259816e-06;+1.8361809484057156e-05;+4.5598012892618209e-14;+1.9072028150438763e-05
7150;+0.0000000000000000e+00;+1.8535027756211359e-05;+0.0000000000000000e+00;+3.0526266600984171e-06;+1.8535027756211359e-05;+4.6191002126143446e-14;+1.9267417446648541e-05
7200;+0.0000000000000000e+00;+1.8675661484271387e-05;+0.0000000000000000e+00;+3.0748619078907796e-06;+1.8675661484271387e-05;+4.6707564735776341e-14;+1.9467305453567288e-05
7250;+0.0000000000000000e+00;+1.8807276023389032e-05;+0.0000000000000000e+00;+3.0947898817201064e-06;+1.8807276023389032e-05;+4.7015541126756877e-14;+1.9674337539471341e-05
