Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+100;+5.6960000656545162e-03;+5.5999998003244400e-03;+5.6960000656545162e-03;+5.6320000439882278e-03;+5.1520001143217087e-03;+7.9359998926520348e-03;+7.6799998059868813e-03
+200;+5.0240000709891319e-03;+5.3440001793205738e-03;+5.3119999356567860e-03;+5.3119999356567860e-03;+4.8000002279877663e-03;+7.9680001363158226e-03;+8.1280004233121872e-03
+300;+5.6320000439882278e-03;+5.8880001306533813e-03;+5.5999998003244400e-03;+6.0479999519884586e-03;+5.7600000873208046e-03;+8.5760001093149185e-03;+8.2240002229809761e-03
+400;+6.2719997949898243e-03;+6.2079997733235359e-03;+6.1119999736547470e-03;+6.9439997896552086e-03;+6.0800001956522465e-03;+8.9919995516538620e-03;+8.4159998223185539e-03
+500;+7.1999998763203621e-03;+6.6240001469850540e-03;+7.0400000549852848e-03;+6.8160002119839191e-03;+6.6559999249875546e-03;+1.2768000364303589e-02;+1.0463999584317207e-02
+600;+7.3600001633167267e-03;+7.1359998546540737e-03;+7.5520002283155918e-03;+7.6480000279843807e-03;+7.2960001416504383e-03;+8.9279999956488609e-03;+9.5039997249841690e-03
+700;+7.7760000713169575e-03;+7.7760000713169575e-03;+7.5840000063180923e-03;+8.4480000659823418e-03;+8.0639999359846115e-03;+9.1519998386502266e-03;+9.2799998819828033e-03
+800;+8.2559995353221893e-03;+8.0319996923208237e-03;+8.4800003096461296e-03;+9.0560000389814377e-03;+8.0000003799796104e-03;+1.0879999957978725e-02;+9.5359999686479568e-03
+900;+8.5439998656511307e-03;+8.6719999089837074e-03;+8.4800003096461296e-03;+9.1840000823140144e-03;+8.5119996219873428e-03;+1.1424000374972820e-02;+1.0111999697983265e-02
+1000;+9.2479996383190155e-03;+8.7679997086524963e-03;+8.9919995516538620e-03;+9.4079999253153801e-03;+8.7040001526474953e-03;+1.2480000033974648e-02;+2.1951999515295029e-02
+1100;+9.6000004559755325e-03;+9.5680002123117447e-03;+9.5039997249841690e-03;+1.0495999827980995e-02;+9.5039997249841690e-03;+1.2384000234305859e-02;+9.2160003259778023e-03
+1200;+1.0463999584317207e-02;+1.0048000141978264e-02;+1.0367999784648418e-02;+1.1615999974310398e-02;+1.0080000385642052e-02;+1.3311999849975109e-02;+9.5039997249841690e-03
+1300;+1.1199999600648880e-02;+1.0591999627649784e-02;+1.0975999757647514e-02;+1.1935999616980553e-02;+1.0623999871313572e-02;+1.3311999849975109e-02;+3.7951998412609100e-02
+1400;+1.1648000217974186e-02;+1.0975999757647514e-02;+1.1648000217974186e-02;+1.2480000033974648e-02;+1.0591999627649784e-02;+1.4399999752640724e-02;+4.0352001786231995e-02
+1500;+1.2256000190973282e-02;+1.1392000131309032e-02;+1.2415999546647072e-02;+1.2896000407636166e-02;+1.1327999643981457e-02;+1.4560000039637089e-02;+1.0591999627649784e-02
+1600;+1.2896000407636166e-02;+1.1904000304639339e-02;+1.2831999920308590e-02;+1.3472000136971474e-02;+1.1744000017642975e-02;+1.6575999557971954e-02;+1.0271999984979630e-02
+1700;+1.4143999665975571e-02;+1.3376000337302685e-02;+1.4112000353634357e-02;+1.5359999611973763e-02;+1.3311999849975109e-02;+1.9392000511288643e-02;+1.0751999914646149e-02
+1800;+1.5072000212967396e-02;+1.3663999736309052e-02;+1.4944000169634819e-02;+1.6224000602960587e-02;+1.3344000093638897e-02;+2.1663999184966087e-02;+1.0879999957978725e-02
+1900;+1.6575999557971954e-02;+1.4175999909639359e-02;+1.6672000288963318e-02;+1.6767999157309532e-02;+1.4208000153303146e-02;+2.8480000793933868e-02;+1.2032000347971916e-02
+2000;+1.7408000305294991e-02;+1.4879999682307243e-02;+1.7983999103307724e-02;+1.7279999330639839e-02;+1.4751999638974667e-02;+2.6048000901937485e-02;+1.2736000120639801e-02
