Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
+2500;+0.0000000000000000e+00;+9.8943606182769556e-08;+0.0000000000000000e+00;+3.8941150038075857e-08;+9.8943606182769556e-08;+4.4776303962959209e-16;+2.2608909128869111e-07
+2600;+0.0000000000000000e+00;+9.8207814554964832e-08;+0.0000000000000000e+00;+3.8166503486235462e-08;+9.8207814554964832e-08;+4.6001544955669455e-16;+2.3375418700627562e-07
+2700;+0.0000000000000000e+00;+9.8911945164768586e-08;+0.0000000000000000e+00;+3.8594823783832228e-08;+9.8911945164768586e-08;+4.6560568629664936e-16;+2.3412378169968634e-07
+2800;+0.0000000000000000e+00;+9.8031974951993418e-08;+0.0000000000000000e+00;+3.8262157892021067e-08;+9.8031974951993418e-08;+4.7451065288076736e-16;+2.4124664965465645e-07
+2900;+0.0000000000000000e+00;+9.7868590927229493e-08;+0.0000000000000000e+00;+3.8110985916549307e-08;+9.7868590927229493e-08;+4.8148647696242058e-16;+2.4248657582185268e-07
+3000;+0.0000000000000000e+00;+1.0047672849515553e-07;+0.0000000000000000e+00;+3.9318353438590178e-08;+1.0047672849515553e-07;+4.8943736234368179e-16;+2.4530763806080529e-07
+3100;+0.0000000000000000e+00;+9.9653839065382419e-08;+0.0000000000000000e+00;+3.8901964845388673e-08;+9.9653839065382419e-08;+4.9035509086018955e-16;+2.5442317494398873e-07
+3200;+0.0000000000000000e+00;+1.0049148394967258e-07;+0.0000000000000000e+00;+3.9851080822726738e-08;+1.0049148394967258e-07;+4.9519503110543340e-16;+2.6093074138731755e-07
+3300;+0.0000000000000000e+00;+1.0096880630228297e-07;+0.0000000000000000e+00;+3.9033430242863140e-08;+1.0096880630228297e-07;+5.0486877725056778e-16;+2.6606409632724331e-07
+3400;+0.0000000000000000e+00;+1.0266605834923137e-07;+0.0000000000000000e+00;+3.8898906299357464e-08;+1.0266605834923137e-07;+5.1459971479152642e-16;+2.7083766288899310e-07
+3500;+0.0000000000000000e+00;+1.0155531160951070e-07;+0.0000000000000000e+00;+3.9273933887260990e-08;+1.0155531160951070e-07;+5.1941571545255328e-16;+2.7122707869482358e-07
+3600;+0.0000000000000000e+00;+1.0313120580438025e-07;+0.0000000000000000e+00;+3.9966313839435187e-08;+1.0313120580438025e-07;+5.3314142438931128e-16;+2.7462453371508368e-07
+3700;+0.0000000000000000e+00;+1.0265790720047545e-07;+0.0000000000000000e+00;+3.8932004389613287e-08;+1.0265790720047545e-07;+7.1329702585036949e-16;+2.7937097885765770e-07
+3800;+0.0000000000000000e+00;+1.0480091199957251e-07;+0.0000000000000000e+00;+3.9508992043178210e-08;+1.0480091199957251e-07;+7.3120196334881036e-16;+2.8310846547135953e-07
+3900;+0.0000000000000000e+00;+1.0239116737017188e-07;+0.0000000000000000e+00;+3.9543525405764249e-08;+1.0239116737017188e-07;+5.5999509560545323e-16;+2.8805338758036780e-07
+4000;+0.0000000000000000e+00;+1.0451323393718065e-07;+0.0000000000000000e+00;+3.9602816003374561e-08;+1.0451323393718065e-07;+5.6249651475712413e-16;+2.9230806233841847e-07
+4100;+0.0000000000000000e+00;+1.0265072325315632e-07;+0.0000000000000000e+00;+3.8818006928818947e-08;+1.0265072325315632e-07;+5.6528815433359930e-16;+2.9545103574704591e-07
+4200;+0.0000000000000000e+00;+1.0100299994532166e-07;+0.0000000000000000e+00;+3.9189290751101431e-08;+1.0100299994532166e-07;+7.6647716084118595e-16;+2.9751232559469822e-07
+4300;+0.0000000000000000e+00;+1.0415671329913848e-07;+0.0000000000000000e+00;+3.9483164010330126e-08;+1.0415671329913848e-07;+7.7294967416583790e-16;+2.9804611373211067e-07
