Num rows;TRSV multi-kernel fp64;TRSV single kernel fp64;TRSV fp64;CUBLAS TRSV fp64
10000;+5.9467201232910156e+00;+3.6864960193634033e+00;+1.1710720062255859e+00;+1.7791359424591064e+00
10050;+5.9992318153381348e+00;+3.7228159904479980e+00;+1.1901439428329468e+00;+1.8370560407638550e+00
10100;+6.0092158317565918e+00;+3.7218239307403564e+00;+1.1859840154647827e+00;+1.8610240221023560e+00
10150;+6.0502400398254395e+00;+3.7528638839721680e+00;+1.1928319931030273e+00;+1.8542399406433105e+00
10200;+6.0635519027709961e+00;+3.7528319358825684e+00;+1.1921919584274292e+00;+1.7966079711914062e+00
10250;+6.1070399284362793e+00;+3.7792959213256836e+00;+1.1984959840774536e+00;+1.9106559753417969e+00
10300;+6.1475200653076172e+00;+3.8056321144104004e+00;+1.2192319631576538e+00;+1.8845119476318359e+00
10350;+6.1811199188232422e+00;+3.8296000957489014e+00;+1.2214720249176025e+00;+1.9257919788360596e+00
10400;+6.1830720901489258e+00;+3.8336319923400879e+00;+1.2233279943466187e+00;+1.8408000469207764e+00
10450;+6.2402877807617188e+00;+3.8665599822998047e+00;+1.2329280376434326e+00;+1.9655359983444214e+00
10500;+6.2863359451293945e+00;+3.8955519199371338e+00;+1.2486399412155151e+00;+1.9731520414352417e+00
10550;+6.3164482116699219e+00;+3.9248960018157959e+00;+1.2641600370407104e+00;+2.0017280578613281e+00
10600;+6.3609600067138672e+00;+3.9543039798736572e+00;+1.2812800407409668e+00;+1.9758399724960327e+00
10650;+6.3857278823852539e+00;+3.9695360660552979e+00;+1.2853120565414429e+00;+2.0129280090332031e+00
10700;+6.4039678573608398e+00;+3.9789440631866455e+00;+1.2779200077056885e+00;+2.0215039253234863e+00
10750;+6.4318399429321289e+00;+3.9936320781707764e+00;+1.2828480005264282e+00;+2.0439679622650146e+00
10800;+6.4797120094299316e+00;+4.0291199684143066e+00;+1.3101119995117188e+00;+2.0352001190185547e+00
10850;+6.5371198654174805e+00;+4.0612158775329590e+00;+1.3220479488372803e+00;+2.0861759185791016e+00
10900;+6.5375680923461914e+00;+4.0556159019470215e+00;+1.3135679960250854e+00;+2.0912640094757080e+00
10950;+6.5890560150146484e+00;+4.0892162322998047e+00;+1.3248959779739380e+00;+2.1330881118774414e+00
11000;+6.6082878112792969e+00;+4.1016321182250977e+00;+1.3335360288619995e+00;+2.0471038818359375e+00
11050;+6.6552958488464355e+00;+4.1404800415039062e+00;+1.3422080278396606e+00;+2.1268479824066162e+00
11100;+6.6687359809875488e+00;+4.1444802284240723e+00;+1.3444800376892090e+00;+2.1489920616149902e+00
11150;+6.7193598747253418e+00;+4.1796479225158691e+00;+1.3642239570617676e+00;+2.1860480308532715e+00
11200;+6.7318401336669922e+00;+4.1769280433654785e+00;+1.3664000034332275e+00;+2.1285119056701660e+00
11250;+6.7707200050354004e+00;+4.2100157737731934e+00;+1.3739520311355591e+00;+2.2261118888854980e+00
11300;+6.8100800514221191e+00;+4.2313599586486816e+00;+1.3827519416809082e+00;+2.2391359806060791e+00
11350;+6.8434882164001465e+00;+4.2573761940002441e+00;+1.3895360231399536e+00;+2.2507839202880859e+00
11400;+6.8671679496765137e+00;+4.2760958671569824e+00;+1.3770240545272827e+00;+2.2565760612487793e+00
11450;+6.9095039367675781e+00;+4.2957758903503418e+00;+1.4110720157623291e+00;+2.2943038940429688e+00
11500;+6.9340801239013672e+00;+4.3137922286987305e+00;+1.4164160490036011e+00;+2.2938880920410156e+00
11550;+6.9970560073852539e+00;+4.3513917922973633e+00;+1.4441599845886230e+00;+2.3192319869995117e+00
11600;+7.0025601387023926e+00;+4.3607039451599121e+00;+1.4407999515533447e+00;+2.2879040241241455e+00
11650;+7.0722880363464355e+00;+4.3947200775146484e+00;+1.4494080543518066e+00;+2.3504641056060791e+00
11700;+7.0814080238342285e+00;+4.4006400108337402e+00;+1.4543679952621460e+00;+2.3484799861907959e+00
11750;+7.1223678588867188e+00;+4.4273920059204102e+00;+1.4592000246047974e+00;+2.3903360366821289e+00
11800;+7.1478400230407715e+00;+4.4601278305053711e+00;+1.4804799556732178e+00;+2.3630080223083496e+00
11850;+7.1867198944091797e+00;+4.4763522148132324e+00;+1.4705599546432495e+00;+2.4238080978393555e+00
11900;+7.2144641876220703e+00;+4.4998078346252441e+00;+1.4959679841995239e+00;+2.4337921142578125e+00
11950;+7.2568321228027344e+00;+4.5138239860534668e+00;+1.4901119470596313e+00;+2.4207038879394531e+00
12000;+7.2471680641174316e+00;+4.5224637985229492e+00;+1.4977279901504517e+00;+2.3663680553436279e+00
12050;+7.3323202133178711e+00;+4.5573759078979492e+00;+1.5084799528121948e+00;+2.4683520793914795e+00
12100;+7.3610558509826660e+00;+4.5817599296569824e+00;+1.4986879825592041e+00;+2.5040318965911865e+00
12150;+7.3902721405029297e+00;+4.6028161048889160e+00;+1.5239679813385010e+00;+2.5071361064910889e+00
12200;+7.4399361610412598e+00;+4.6422400474548340e+00;+1.5495680570602417e+00;+2.4888639450073242e+00
12250;+7.4765119552612305e+00;+4.6495680809020996e+00;+1.5538560152053833e+00;+2.5537281036376953e+00
12300;+7.4859519004821777e+00;+4.6729278564453125e+00;+1.5543999671936035e+00;+2.5687038898468018e+00
12350;+7.5240960121154785e+00;+4.6873598098754883e+00;+1.5543040037155151e+00;+2.5846080780029297e+00
12400;+7.5535678863525391e+00;+4.7151999473571777e+00;+1.5696959495544434e+00;+2.5468480587005615e+00
12450;+7.6159682273864746e+00;+4.7456641197204590e+00;+1.5886720418930054e+00;+2.6152958869934082e+00
12500;+7.6305279731750488e+00;+4.7693758010864258e+00;+1.6008640527725220e+00;+2.6355519294738770e+00
12550;+7.6644477844238281e+00;+4.7875518798828125e+00;+1.5927679538726807e+00;+2.6632640361785889e+00
