Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
50;+6.3487999141216278e-02;+5.9392001479864120e-02;+6.3487999141216278e-02;+6.3487999141216278e-02;+5.9392001479864120e-02;+1.8432000651955605e-02;+1.6383999958634377e-02
100;+6.8608000874519348e-02;+6.2463998794555664e-02;+6.7584000527858734e-02;+6.9632001221179962e-02;+6.2463998794555664e-02;+2.3552000522613525e-02;+2.2528000175952911e-02
150;+7.0656001567840576e-02;+6.4511999487876892e-02;+7.0656001567840576e-02;+7.1680001914501190e-02;+6.4511999487876892e-02;+2.6623999699950218e-02;+2.4576000869274139e-02
200;+7.4752002954483032e-02;+6.7584000527858734e-02;+7.4752002954483032e-02;+7.7823996543884277e-02;+6.8608000874519348e-02;+3.1743999570608139e-02;+2.9696000739932060e-02
250;+7.6800003647804260e-02;+6.9632001221179962e-02;+7.6800003647804260e-02;+7.9871997237205505e-02;+6.9632001221179962e-02;+3.4816000610589981e-02;+3.3792000263929367e-02
300;+8.0895997583866119e-02;+7.3728002607822418e-02;+8.0895997583866119e-02;+8.4991998970508575e-02;+7.2704002261161804e-02;+4.0959998965263367e-02;+3.9935998618602753e-02
350;+8.3967998623847961e-02;+7.4752002954483032e-02;+8.3967998623847961e-02;+8.8064000010490417e-02;+7.4752002954483032e-02;+4.4032000005245209e-02;+4.1983999311923981e-02
400;+8.8064000010490417e-02;+7.8847996890544891e-02;+8.8064000010490417e-02;+9.3184001743793488e-02;+7.8847996890544891e-02;+4.9152001738548279e-02;+4.8128001391887665e-02
450;+9.3184001743793488e-02;+8.1919997930526733e-02;+9.2160001397132874e-02;+9.8304003477096558e-02;+8.0895997583866119e-02;+5.5296000093221664e-02;+5.5296000093221664e-02
500;+9.5232002437114716e-02;+8.2943998277187347e-02;+9.5232002437114716e-02;+1.0137599706649780e-01;+8.3967998623847961e-02;+5.7344000786542892e-02;+5.7344000786542892e-02
550;+9.9327996373176575e-02;+8.7039999663829803e-02;+9.9327996373176575e-02;+1.0751999914646149e-01;+8.7039999663829803e-02;+6.3487999141216278e-02;+6.4511999487876892e-02
600;+1.0239999741315842e-01;+8.9088000357151031e-02;+1.0239999741315842e-01;+1.1059200018644333e-01;+8.9088000357151031e-02;+6.6560000181198120e-02;+6.6560000181198120e-02
650;+1.0649599879980087e-01;+9.2160001397132874e-02;+1.0751999914646149e-01;+1.1571200191974640e-01;+9.2160001397132874e-02;+7.2704002261161804e-02;+7.1680001914501190e-02
700;+1.0956799983978271e-01;+9.4208002090454102e-02;+1.0956799983978271e-01;+1.1776000261306763e-01;+9.4208002090454102e-02;+7.4752002954483032e-02;+7.5776003301143646e-02
750;+1.1366400122642517e-01;+9.7280003130435944e-02;+1.1264000087976456e-01;+1.2287999689579010e-01;+9.7280003130435944e-02;+8.0895997583866119e-02;+8.0895997583866119e-02
800;+1.1571200191974640e-01;+9.9327996373176575e-02;+1.1571200191974640e-01;+1.2595200538635254e-01;+9.9327996373176575e-02;+8.3967998623847961e-02;+8.3967998623847961e-02
850;+1.1980800330638885e-01;+1.0239999741315842e-01;+1.1980800330638885e-01;+1.3107199966907501e-01;+1.0239999741315842e-01;+8.9088000357151031e-02;+8.9088000357151031e-02
900;+1.2390399724245071e-01;+1.0649599879980087e-01;+1.2492799758911133e-01;+1.3721600174903870e-01;+1.0649599879980087e-01;+9.5232002437114716e-02;+9.5232002437114716e-02
950;+1.2697599828243256e-01;+1.0649599879980087e-01;+1.2595200538635254e-01;+1.4028799533843994e-01;+1.0649599879980087e-01;+9.8304003477096558e-02;+9.8304003477096558e-02
1000;+1.3004800677299500e-01;+1.1059200018644333e-01;+1.3107199966907501e-01;+1.4438399672508240e-01;+1.1161600053310394e-01;+1.0342399775981903e-01;+1.0444799810647964e-01
1050;+1.3312000036239624e-01;+1.1264000087976456e-01;+1.3414399325847626e-01;+1.4745600521564484e-01;+1.1264000087976456e-01;+1.0751999914646149e-01;+1.0649599879980087e-01
1100;+1.3926400244235992e-01;+1.1571200191974640e-01;+1.3926400244235992e-01;+1.5257599949836731e-01;+1.1673600226640701e-01;+1.1264000087976456e-01;+1.1264000087976456e-01
1150;+1.4131200313568115e-01;+1.1776000261306763e-01;+1.4028799533843994e-01;+1.5564799308776855e-01;+1.1776000261306763e-01;+1.1673600226640701e-01;+1.1468800157308578e-01
1200;+1.4643199741840363e-01;+1.2185599654912949e-01;+1.4540800452232361e-01;+1.5974399447441101e-01;+1.2083200365304947e-01;+1.2185599654912949e-01;+1.2083200365304947e-01
1250;+1.5052799880504608e-01;+1.2492799758911133e-01;+1.4950400590896606e-01;+1.6691200435161591e-01;+1.2492799758911133e-01;+1.2800000607967377e-01;+1.2800000607967377e-01
1300;+1.5257599949836731e-01;+1.2595200538635254e-01;+1.5155200660228729e-01;+1.6896000504493713e-01;+1.2595200538635254e-01;+1.3209599256515503e-01;+1.3107199966907501e-01
1350;+1.5667200088500977e-01;+1.3004800677299500e-01;+1.5667200088500977e-01;+1.7510400712490082e-01;+1.2902399897575378e-01;+1.3926400244235992e-01;+1.3619199395179749e-01
1400;+1.5769599378108978e-01;+1.3004800677299500e-01;+1.5872000157833099e-01;+1.7715199291706085e-01;+1.3209599256515503e-01;+1.4233599603176117e-01;+1.3926400244235992e-01
1450;+1.6383999586105347e-01;+1.3516800105571747e-01;+1.6179199516773224e-01;+1.8227200210094452e-01;+1.3619199395179749e-01;+1.4847999811172485e-01;+1.4438399672508240e-01
1500;+1.6588799655437469e-01;+1.3721600174903870e-01;+1.6588799655437469e-01;+1.8432000279426575e-01;+1.3823999464511871e-01;+1.5257599949836731e-01;+1.4745600521564484e-01
1550;+1.6896000504493713e-01;+1.4131200313568115e-01;+1.6896000504493713e-01;+1.9046400487422943e-01;+1.4131200313568115e-01;+1.5769599378108978e-01;+1.5360000729560852e-01
