Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
18800;+3.4170880317687988e+00;+2.4176640510559082e+00;+3.1088640689849854e+00;+2.5599999427795410e+00;+2.4186880588531494e+00;+5.3995518684387207e+00;+3.3423359394073486e+00
18850;+3.5102720260620117e+00;+2.3224320411682129e+00;+3.2215039730072021e+00;+2.4750080108642578e+00;+2.3132159709930420e+00;+5.3770241737365723e+00;+3.3986558914184570e+00
18900;+3.5368959903717041e+00;+2.4524800777435303e+00;+3.2583680152893066e+00;+2.5937919616699219e+00;+2.4504320621490479e+00;+5.4937601089477539e+00;+3.3955841064453125e+00
18950;+3.5256319046020508e+00;+2.3357439041137695e+00;+3.2450559139251709e+00;+2.4913918972015381e+00;+2.3316481113433838e+00;+5.4835200309753418e+00;+3.4027519226074219e+00
19000;+3.4856960773468018e+00;+2.4760320186614990e+00;+3.1580159664154053e+00;+2.6255359649658203e+00;+2.4801280498504639e+00;+5.4599680900573730e+00;+3.4355199337005615e+00
19050;+3.5880959033966064e+00;+2.3511040210723877e+00;+3.3024001121520996e+00;+2.5088000297546387e+00;+2.3552000522613525e+00;+5.4722561836242676e+00;+3.4457600116729736e+00
19100;+3.6106240749359131e+00;+2.5313279628753662e+00;+3.3198080062866211e+00;+2.6746881008148193e+00;+2.5262079238891602e+00;+5.5244798660278320e+00;+3.4723839759826660e+00
19150;+3.6239359378814697e+00;+2.3664638996124268e+00;+3.3331201076507568e+00;+2.5405440330505371e+00;+2.3644158840179443e+00;+5.3616638183593750e+00;+3.4949119091033936e+00
19200;+3.4836480617523193e+00;+2.3787519931793213e+00;+3.1641600131988525e+00;+2.5292799472808838e+00;+2.3746559619903564e+00;+5.5941119194030762e+00;+3.4928638935089111e+00
19250;+3.6526079177856445e+00;+2.5303039550781250e+00;+3.3433599472045898e+00;+2.6798079013824463e+00;+2.5231359004974365e+00;+5.6309762001037598e+00;+3.4887681007385254e+00
19300;+3.6147201061248779e+00;+2.4033279418945312e+00;+3.3433599472045898e+00;+2.5364480018615723e+00;+2.4043519496917725e+00;+5.6074237823486328e+00;+3.5379199981689453e+00
19350;+3.6741120815277100e+00;+2.5528318881988525e+00;+3.3761279582977295e+00;+2.6961920261383057e+00;+2.5487360954284668e+00;+5.6494078636169434e+00;+3.5164160728454590e+00
19400;+3.5901439189910889e+00;+2.4217600822448730e+00;+3.2798719406127930e+00;+2.5855998992919922e+00;+2.4186880588531494e+00;+5.7425918579101562e+00;+3.5481600761413574e+00
19450;+3.7068800926208496e+00;+2.5999360084533691e+00;+3.4099199771881104e+00;+2.7351040840148926e+00;+2.6019840240478516e+00;+5.7958397865295410e+00;+3.5471360683441162e+00
19500;+3.7171199321746826e+00;+2.4319999217987061e+00;+3.4201600551605225e+00;+2.6009600162506104e+00;+2.4309759140014648e+00;+5.7231359481811523e+00;+3.5686399936676025e+00
19550;+3.7601280212402344e+00;+2.6286079883575439e+00;+3.4539520740509033e+00;+2.7607040405273438e+00;+2.6255359649658203e+00;+5.7384958267211914e+00;+3.5973119735717773e+00
19600;+3.6126720905303955e+00;+2.5722880363464355e+00;+3.3310720920562744e+00;+2.7258880138397217e+00;+2.5743360519409180e+00;+5.7753601074218750e+00;+3.5921919345855713e+00
19650;+3.7406721115112305e+00;+2.4637439250946045e+00;+3.4508800506591797e+00;+2.6275839805603027e+00;+2.4637439250946045e+00;+5.8880000114440918e+00;+3.6362240314483643e+00
19700;+3.7632000446319580e+00;+2.6265599727630615e+00;+3.4918398857116699e+00;+2.7719678878784180e+00;+2.6112000942230225e+00;+5.8798079490661621e+00;+3.6239359378814697e+00
19750;+3.7478399276733398e+00;+2.4811520576477051e+00;+3.4590721130371094e+00;+2.6408960819244385e+00;+2.4821760654449463e+00;+5.9412479400634766e+00;+3.6536319255828857e+00
19800;+3.6894719600677490e+00;+2.6460158824920654e+00;+3.3638401031494141e+00;+2.7934720516204834e+00;+2.6501119136810303e+00;+5.9627518653869629e+00;+3.6526079177856445e+00
19850;+3.8184959888458252e+00;+2.5088000297546387e+00;+3.5256319046020508e+00;+2.6675200462341309e+00;+2.5006079673767090e+00;+5.7333760261535645e+00;+3.6464641094207764e+00
19900;+3.8440959453582764e+00;+2.6982400417327881e+00;+3.5512320995330811e+00;+2.8477439880371094e+00;+2.6869759559631348e+00;+5.9914240837097168e+00;+3.7212159633636475e+00
19950;+3.8553600311279297e+00;+2.5190401077270508e+00;+3.5450880527496338e+00;+2.6644480228424072e+00;+2.5180160999298096e+00;+5.9791359901428223e+00;+3.7242879867553711e+00
20000;+3.6833279132843018e+00;+2.5210878849029541e+00;+3.3689599037170410e+00;+2.6736640930175781e+00;+2.5251839160919189e+00;+6.0231680870056152e+00;+3.7201919555664062e+00
20050;+3.8840320110321045e+00;+2.6961920261383057e+00;+3.5962879657745361e+00;+2.8456959724426270e+00;+2.6808319091796875e+00;+6.0733442306518555e+00;+3.7396481037139893e+00
20100;+3.8512639999389648e+00;+2.5528318881988525e+00;+3.5553278923034668e+00;+2.7166719436645508e+00;+2.5415680408477783e+00;+6.1009922027587891e+00;+3.7785599231719971e+00
20150;+3.9116799831390381e+00;+2.7064321041107178e+00;+3.5891199111938477e+00;+2.8753919601440430e+00;+2.7146239280700684e+00;+5.9842557907104492e+00;+3.7632000446319580e+00
20200;+3.8021121025085449e+00;+2.5743360519409180e+00;+3.4754559993743896e+00;+2.7187199592590332e+00;+2.5620479583740234e+00;+6.1696000099182129e+00;+3.7611520290374756e+00
20250;+3.9557120800018311e+00;+2.7781119346618652e+00;+3.6392960548400879e+00;+2.9091839790344238e+00;+2.7688961029052734e+00;+6.2023677825927734e+00;+3.7939200401306152e+00
20300;+3.9546880722045898e+00;+2.5845758914947510e+00;+3.6659200191497803e+00;+2.7269120216369629e+00;+2.5835518836975098e+00;+6.1992959976196289e+00;+3.8287360668182373e+00
20350;+4.0069122314453125e+00;+2.7975680828094482e+00;+3.6904959678649902e+00;+2.9399039745330811e+00;+2.8026878833770752e+00;+6.1982722282409668e+00;+3.8307840824127197e+00
